pt,no_reactions
5-hydroxyindolacetic acid increased,12
AIDS related complex,13
AST/ALT ratio abnormal,4
Abasia,1659
Abdominal abscess,237
Abdominal adhesions,299
Abdominal cavity drainage,40
Abdominal compartment syndrome,35
Abdominal discomfort,14497
Abdominal distension,7202
Abdominal hernia,550
Abdominal hernia obstructive,14
Abdominal infection,144
Abdominal injury,24
Abdominal mass,105
Abdominal migraine,30
Abdominal neoplasm,32
Abdominal operation,71
Abdominal pain,16090
Abdominal pain lower,1175
Abdominal pain upper,12523
Abdominal rigidity,96
Abdominal sepsis,27
Abdominal symptom,43
Abdominal tenderness,143
Abdominal wall abscess,45
Abdominal wall haematoma,140
Abdominal wall wound,13
Abdominoplasty,51
Abnormal behaviour,6284
Abnormal dreams,4505
Abnormal faeces,429
Abnormal loss of weight,662
Abnormal organ growth,11
Abnormal sensation in eye,184
Abnormal sleep-related event,323
Abnormal weight gain,906
Abortion,92
Abortion induced,283
Abortion missed,61
Abortion spontaneous,2003
Abortion spontaneous incomplete,4
Abscess,802
Abscess bacterial,22
Abscess drainage,33
Abscess fungal,5
Abscess jaw,40
Abscess limb,316
Abscess neck,52
Abscess oral,91
Abscess sterile,13
Abulia,452
Acalculia,2
Acarodermatitis,113
Accelerated hypertension,32
Accident,802
Accident at home,36
Accident at work,127
Accidental death,388
Accidental exposure to product,1296
Accidental exposure to product by child,109
Accidental overdose,2453
Accidental poisoning,152
Accidental underdose,87
Accidental use of placebo,1
Accommodation disorder,207
Acid base balance abnormal,5
Acid peptic disease,7
Acidosis,573
Acidosis hyperchloraemic,22
Acinetobacter test positive,3
Acne,2209
Acne conglobata,2
Acne cystic,127
Acne pustular,16
Acoustic stimulation tests abnormal,38
Acquired corneal dystrophy,5
Acquired diaphragmatic eventration,21
Acquired immunodeficiency syndrome,7
Acquired oesophageal web,27
Acrochordon,117
Acromegaly,35
Actinic keratosis,144
Actinomycosis,18
Activated partial thromboplastin time abnormal,6
Activated partial thromboplastin time prolonged,214
Activated partial thromboplastin time ratio increased,3
Activated partial thromboplastin time shortened,26
Activities of daily living impaired,1625
Acute abdomen,56
Acute chest syndrome,9
Acute coronary syndrome,442
Acute disseminated encephalomyelitis,9
Acute febrile neutrophilic dermatosis,102
Acute generalised exanthematous pustulosis,373
Acute graft versus host disease,16
Acute graft versus host disease in skin,18
Acute haemolytic transfusion reaction,1
Acute hepatic failure,610
Acute interstitial pneumonitis,34
Acute kidney injury,23399
Acute left ventricular failure,69
Acute leukaemia,37
Acute lung injury,77
Acute lymphocytic leukaemia,71
Acute lymphocytic leukaemia recurrent,18
Acute motor-sensory axonal neuropathy,53
Acute myeloid leukaemia,286
Acute myeloid leukaemia recurrent,15
Acute myocardial infarction,1205
Acute myopia,14
Acute on chronic liver failure,7
Acute painful neuropathy of rapid glycaemic control,6
Acute phase reaction,12
Acute phosphate nephropathy,7
Acute polyneuropathy,19
Acute prerenal failure,44
Acute psychosis,424
Acute pulmonary oedema,390
Acute respiratory distress syndrome,922
Acute respiratory failure,1222
Acute sinusitis,168
Adactyly,28
Addison's disease,109
Adenocarcinoma,59
Adenocarcinoma gastric,102
Adenocarcinoma of colon,88
Adenocarcinoma of the cervix,4
Adenocarcinoma pancreas,62
Adenoidal hypertrophy,20
Adenoma benign,38
Adenomyosis,38
Adenotonsillectomy,11
Adenovirus infection,30
Adhesion,69
Adiposis dolorosa,40
Adjustment disorder,243
Adjustment disorder with depressed mood,222
Adjustment disorder with disturbance of conduct,1
Adjustment disorder with mixed anxiety and depressed mood,100
Administration related reaction,40
Administration site abscess sterile,3
Administration site bruise,37
Administration site cellulitis,6
Administration site discomfort,6
Administration site erosion,2
Administration site injury,5
Administration site pain,28
Administration site reaction,18
Administration site swelling,36
Administration site ulcer,1
Adnexa uteri cyst,7
Adnexa uteri pain,43
Adrenal adenoma,64
Adrenal cyst,30
Adrenal disorder,96
Adrenal gland cancer,20
Adrenal gland injury,4
Adrenal haemorrhage,23
Adrenal insufficiency,777
Adrenal mass,44
Adrenal neoplasm,36
Adrenal suppression,12
Adrenocortical insufficiency acute,46
Adverse drug reaction,4524
Adverse event,3941
Adverse food reaction,29
Adverse reaction,533
Aeromonas infection,18
Affect lability,6072
Affective disorder,1853
Age-related macular degeneration,169
Ageusia,1179
Aggression,6601
Agitated depression,88
Agitation,12595
Agitation neonatal,459
Agoraphobia,375
Agranulocytosis,1009
Agraphia,30
Air embolism,14
Akathisia,3096
Akinesia,318
Alanine aminotransferase,4
Alanine aminotransferase abnormal,300
Alanine aminotransferase decreased,74
Alanine aminotransferase increased,2960
Albumin globulin ratio abnormal,3
Albumin globulin ratio decreased,17
Albumin urine present,27
Albuminuria,31
Alcohol abuse,504
Alcohol interaction,408
Alcohol poisoning,347
Alcohol problem,24
Alcohol test positive,8
Alcohol use,257
Alcohol withdrawal syndrome,112
Alcoholism,560
Alkalosis hypochloraemic,21
Allergic cough,65
Allergic oedema,78
Allergic pharyngitis,7
Allergic reaction to excipient,101
Allergic sinusitis,43
Allergy test positive,13
Allergy to animal,121
Allergy to arthropod bite,14
Allergy to arthropod sting,30
Allergy to chemicals,50
Allergy to immunoglobulin therapy,9
Allergy to metals,35
Allergy to vaccine,15
Allodynia,266
Alloimmunisation,5
Alopecia,13201
Alopecia areata,103
Alopecia totalis,10
Alopecia universalis,4
Alpha haemolytic streptococcal infection,14
Altered state of consciousness,2218
Altered visual depth perception,80
Alveolitis,41
Alveolitis allergic,60
Alveoloplasty,3
Amaurosis fugax,53
Amenorrhoea,610
American trypanosomiasis,2
Amino acid level decreased,42
Amino acid level increased,66
Ammonia abnormal,25
Ammonia increased,214
Amnesia,5868
Amnestic disorder,50
Amniorrhoea,7
Amniotic fluid volume increased,32
Amoeba test positive,1
Amoebiasis,7
Amphetamines negative,3
Amphetamines positive,128
Amplified musculoskeletal pain syndrome,1
Amputation,23
Amputation stump pain,10
Amylase increased,227
Amyloid related imaging abnormality-oedema/effusion,52
Amyloidosis,68
Amyotrophic lateral sclerosis,113
Amyotrophy,186
Anaemia,8359
Anaemia folate deficiency,14
Anaemia macrocytic,86
Anaemia megaloblastic,8
Anaemia of chronic disease,47
Anaemia of malignant disease,42
Anaemia postoperative,22
Anaemia vitamin B12 deficiency,17
Anaesthesia,22
Anaesthetic complication,79
Anaesthetic complication neurological,11
Anal abscess,169
Anal fissure,269
Anal fissure haemorrhage,31
Anal fistula,136
Anal fungal infection,2
Anal haemorrhage,108
Anal incontinence,770
Anal infection,8
Anal paraesthesia,1
Anal pruritus,45
Anal skin tags,15
Anal squamous cell carcinoma,29
Anal stenosis,33
Anal ulcer haemorrhage,2
Analgesic drug level above therapeutic,261
Analgesic drug level increased,93
Analgesic therapy,5
Anaphylactic reaction,2181
Anaphylactic shock,664
Anaphylactoid reaction,46
Anaplastic astrocytoma,5
Anaplastic large-cell lymphoma,4
Anastomotic complication,6
Anastomotic haemorrhage,2
Anastomotic ulcer,12
Androgen deficiency,33
Aneurysm,234
Aneurysm repair,4
Aneurysm ruptured,34
Anger,3376
Angina bullosa haemorrhagica,33
Angina pectoris,1254
Angina unstable,135
Angiocardiogram,1
Angiodermatitis,5
Angiodysplasia,9
Angioedema,1702
Angiogram,8
Angiolipoma,15
Angiopathy,148
Angle closure glaucoma,263
Angular cheilitis,45
Anhedonia,2717
Anhidrosis,15
Animal bite,208
Animal scratch,89
Anion gap,7
Anion gap abnormal,5
Anion gap decreased,16
Anion gap increased,66
Anisocoria,15
Ankle arthroplasty,24
Ankle deformity,7
Ankle fracture,1678
Ankle operation,180
Ankyloglossia congenital,55
Ankylosing spondylitis,875
Anogenital dysplasia,10
Anogenital warts,88
Anomaly of external ear congenital,30
Anophthalmos,5
Anorectal discomfort,74
Anorectal disorder,58
Anorectal infection,17
Anorexia nervosa,55
Anorgasmia,881
Anosmia,207
Anovulatory cycle,37
Anterograde amnesia,82
Anti-cyclic citrullinated peptide antibody positive,111
Anti-erythropoietin antibody positive,3
Anti-neutrophil cytoplasmic antibody positive vasculitis,71
Anti-thyroid antibody increased,2
Anti-thyroid antibody positive,35
