pt,unique_drugs,std_column,mean_column
Depression,6,0.08380529308373968,0.06678987455197127
Stress cardiomyopathy,6,0.13145719466908298,0.09523809523809519
Anxiety,6,0.06091346046016146,0.0568389562905102
Blood glucose increased,6,0.045427269087099764,0.04281127363539061
Adverse event,6,0.0482862211381985,0.045715977332318324
Constipation,6,0.058250806231563076,0.04787119548839808
Completed suicide,6,0.08035097276292015,0.06877655597498035
Agitation,6,0.04449917402648349,0.04436945877993911
Diarrhoea,6,0.04374019785412405,0.04101146454129865
Feeling abnormal,6,0.06939245345577277,0.0605924259467566
Drug ineffective,6,0.06504988514352764,0.0575914897948796
Arthritis,6,0.0691498785507088,0.05634942032892957
Myocardial infarction,6,0.04708459503577382,0.044578853046594924
Off label use,6,0.05027971289347921,0.048751863482094655
Blood pressure increased,6,0.06330161343380929,0.056893914563531045
Confusional state,6,0.0446107133078962,0.04171331425965083
Sleep disorder,5,0.057944495108756204,0.05999999999999994
Crying,5,0.06803851369904185,0.0687350835322195
Acute myocardial infarction,5,0.043493711804658886,0.05095435684647298
Orthostatic hypotension,5,0.02088180955415023,0.025365853658536518
Erectile dysfunction,5,0.0643901206705635,0.06541850220264313
Application site erythema,5,0.05382534432020946,0.05406504065040646
Therapeutic response unexpected,5,0.07945072832269942,0.08126520681265206
Alopecia,5,0.06663902920110058,0.07138853117188088
Product prescribing issue,5,0.03979112128771106,0.053333333333333274
Extra dose administered,5,0.09377872139543686,0.07991169977924936
Brugada syndrome,5,0.05340663215672489,0.05784313725490192
Burning sensation,5,0.05520260987953935,0.054656956688386306
Product substitution issue,5,0.10686854896360809,0.09292929292929289
Medication error,5,0.03905299479740561,0.04304399524375736
Paraesthesia,5,0.0495434815350572,0.0527256478999106
Blister,5,0.04490533105608391,0.05056689342403624
Therapy non-responder,5,0.054104869879169334,0.06434619002822194
Therapy partial responder,5,0.03749847817705839,0.049999999999999975
Gastrooesophageal reflux disease,5,0.05602691946639652,0.06270270270270266
No adverse event,5,0.05822044149517061,0.0651162790697674
Blood pressure fluctuation,5,0.04453310965265218,0.05164113785557982
Gait inability,5,0.05474431732402792,0.0642673521850899
Altered state of consciousness,5,0.06432382740135417,0.055184851217312855
Extrapyramidal disorder,5,0.05878619830080587,0.060578386605783865
Product availability issue,5,0.054868152387775516,0.06245059288537545
Middle insomnia,5,0.09219468396992363,0.08746355685131194
Amnesia,5,0.05368985330440072,0.0568507157464212
Muscle spasms,5,0.044502949092233186,0.048394495412843984
Chest pain,5,0.047357462752231815,0.05474943904263274
Activities of daily living impaired,5,0.06466430382637017,0.06756923076923074
Mood swings,5,0.07364882815579701,0.07625899280575535
Bipolar disorder,5,0.08070840638545175,0.07971698113207544
Sedation,5,0.02805097384400016,0.03475823405746318
Therapeutic product effect incomplete,5,0.07874702161816367,0.06890192791282479
Cough,5,0.04854782476127492,0.05544109383779727
Anorgasmia,5,0.057896551967562104,0.06560726447219065
Bronchitis,5,0.05304940764626408,0.06031483015741503
Migraine,5,0.054218294737667656,0.058473355736917844
Feeling hot,5,0.052513531379432425,0.07339449541284397
Product formulation issue,5,0.07623975340988454,0.065
Hyponatraemia,5,0.04408632318816232,0.0383647798742138
Headache,5,0.06438111984355252,0.06744509908944826
Cerebrovascular accident,5,0.04953772365194795,0.05368748233964392
Acute kidney injury,5,0.0424280758327369,0.048446514808325084
Panic reaction,5,0.0824373602643058,0.10857142857142851
Renal impairment,5,0.042110368066363965,0.05398373983739836
Lymphadenopathy,5,0.05765875898438094,0.06482213438735172
Dry mouth,5,0.06303683775251416,0.06184279021343046
Toxicity to various agents,5,0.052624176959763944,0.05722891566265056
Incorrect dose administered,5,0.05756176690701996,0.06221111805121796
Herpes zoster,5,0.04809121183899781,0.053016453382084064
Cardio-respiratory arrest,5,0.07556494218199361,0.07870212246889483
Hyperhidrosis,5,0.06459142036755232,0.06945533769063175
Alcohol interaction,5,0.09815250807007421,0.0852941176470588
Blood glucose decreased,5,0.06513800130290533,0.06912242686890571
Death,5,0.04528073432091083,0.05100190305608415
Adverse drug reaction,5,0.05979967544718202,0.05901856763925728
Anxiety disorder,5,0.04674867785761356,0.0440336134453781
Pain,5,0.04596863101059788,0.04839391377852914
Flushing,5,0.0616804917627178,0.06539162112932602
Drug intolerance,5,0.07018469962321906,0.06530430919591287
Cardiac failure congestive,5,0.053107263666920965,0.05881533101045293
Drug interaction,5,0.05625460932013321,0.06646422752184858
Aggression,5,0.04469859392870298,0.04981063475231022
Drug ineffective for unapproved indication,5,0.05578504197972134,0.05714285714285709
Cardiac failure,5,0.05054276536987227,0.04604154969118468
Cardiac disorder,5,0.04876736558027165,0.05390713476783686
Drug effective for unapproved indication,5,0.06185173779791487,0.0672413793103448
Cardiac arrest,5,0.07214391886092578,0.07703048638585054
Overdose,5,0.07889338189471151,0.07497700091996315
Akathisia,5,0.06650845432518301,0.062015503875968936
Drug hypersensitivity,5,0.07054378222209903,0.0713064528330433
Dehydration,5,0.04760219500155019,0.05174870466321237
Delirium,5,0.045402152750810824,0.0480741101901511
Serotonin syndrome,5,0.04867062258723053,0.060952380952380904
Intentional product use issue,5,0.08492585399514965,0.0821122740247383
Illness,5,0.05413970952626594,0.05943719972546324
Drug dose omission,5,0.05676916571051433,0.06337792642140462
Dry eye,5,0.05167547181682167,0.05430622009569376
Pruritus,5,0.056660672247677894,0.059947299077733794
Febrile neutropenia,5,0.02642420820611015,0.03009009009009006
Adjustment disorder,5,0.07496040377984345,0.06337448559670777
Depressed mood,5,0.06251170545952889,0.06814516129032253
Depressed level of consciousness,5,0.0642901780986622,0.05006257822277842
Major depression,5,0.06880435528831459,0.07421875
Drug withdrawal syndrome,5,0.04453949850694551,0.03751633986928102
Malaise,5,0.060521397093696035,0.06444444444444439
