pt,no_events_global
11-beta-hydroxylase deficiency,1
17-alpha-hydroxylase deficiency,1
17-hydroxyprogesterone decreased,2
17-hydroxyprogesterone increased,13
17 ketosteroids urine abnormal,7
1p36 deletion syndrome,1
21-hydroxylase deficiency,5
22q11.2 deletion syndrome,1
"2',5'-oligoadenylate synthetase test decreased",1
2-Hydroxyglutaric aciduria,1
3-hydroxyacetyl-coenzyme A dehydrogenase deficiency,4
3M syndrome,2
5-alpha-reductase deficiency,5
5-hydroxyindolacetic acid decreased,3
5-hydroxyindolacetic acid increased,63
5-hydroxyindolacetic acid in urine,11
5-hydroxyindolacetic acid in urine decreased,1
5-hydroxyindolacetic acid in urine increased,72
5'nucleotidase,1
5'nucleotidase increased,8
5q minus syndrome,142
Aase syndrome,1
Abasia,11466
Abdomen crushing,8
Abdominal abscess,2804
Abdominal adhesions,2287
Abdominal bruit,11
Abdominal cavity drainage,375
Abdominal compartment syndrome,302
Abdominal discomfort,109651
Abdominal distension,55252
Abdominal exploration,7
Abdominal fat apron,57
Abdominal hernia,3064
Abdominal hernia gangrenous,1
Abdominal hernia infection,22
Abdominal hernia obstructive,65
Abdominal hernia perforation,16
Abdominal hernia repair,81
Abdominal incarcerated hernia,41
Abdominal infection,1571
Abdominal injury,253
Abdominal lymphadenopathy,590
Abdominal mass,1312
Abdominal migraine,61
Abdominal neoplasm,534
Abdominal operation,630
Abdominal pain,117969
Abdominal pain lower,12297
Abdominal pain upper,99961
Abdominal panniculectomy,19
Abdominal rebound tenderness,6
Abdominal rigidity,754
Abdominal sepsis,409
Abdominal strangulated hernia,27
Abdominal symptom,327
Abdominal tenderness,1094
Abdominal transposition,15
Abdominal wall abscess,320
Abdominal wall anomaly,54
Abdominal wall cyst,66
Abdominal wall disorder,69
Abdominal wall haematoma,1296
Abdominal wall haemorrhage,109
Abdominal wall infection,48
Abdominal wall mass,36
Abdominal wall neoplasm,9
Abdominal wall neoplasm malignant,12
Abdominal wall oedema,24
Abdominal wall operation,22
Abdominal wall pain,2
Abdominal wall wound,96
Abdominal wound dehiscence,122
Abdominal X-ray,4
Abdominoplasty,158
Aberrant aortic arch,15
Aberrant motor behaviour,6
Abetalipoproteinaemia,1
Abiotrophia defectiva endocarditis,1
Abnormal behaviour,19051
Abnormal clotting factor,74
Abnormal cord insertion,8
Abnormal DNA methylation,4
Abnormal dreams,11942
Abnormal faeces,3436
Abnormal involuntary movement scale,2
Abnormal labour,53
Abnormal labour affecting foetus,10
Abnormal loss of weight,3855
Abnormal menstrual clots,16
Abnormal organ growth,34
Abnormal organ maturation,2
Abnormal palmar/plantar creases,108
Abnormal precordial movement,18
Abnormal product of conception,4
Abnormal sensation in eye,1824
Abnormal sleep-related event,596
Abnormal uterine bleeding,383
Abnormal weight gain,16289
Abnormal withdrawal bleeding,395
ABO haemolytic disease of newborn,4
ABO incompatibility,20
Aborted pregnancy,25
Abortion,1794
Abortion complete,10
Abortion complicated,1
Abortion early,69
Abortion incomplete,514
Abortion incomplete complicated,2
Abortion induced,4057
Abortion induced complete,20
Abortion induced complicated,3
Abortion induced incomplete,22
Abortion induced incomplete complicated,1
Abortion infected,17
Abortion late,42
Abortion missed,531
Abortion of ectopic pregnancy,60
Abortion spontaneous,22647
Abortion spontaneous complete,19
Abortion spontaneous complicated,1
Abortion spontaneous incomplete,42
Abortion threatened,243
Abscess,8263
Abscess bacterial,251
Abscess drainage,303
Abscess fungal,88
Abscess intestinal,1090
Abscess jaw,487
Abscess limb,2629
Abscess management,3
Abscess neck,374
Abscess of external auditory meatus,5
Abscess of eyelid,15
Abscess of salivary gland,26
Abscess oral,706
Abscess rupture,139
Abscess soft tissue,49
Abscess sterile,87
Abscess sweat gland,32
Absence of immediate treatment response,37
Absent bowel movement,10
Absorbable device issue,6
Abstains from alcohol,10
Abulia,490
Acalculia,26
Acanthamoeba infection,95
Acanthamoeba keratitis,20
Acantholysis,32
Acanthoma,32
Acanthosis,116
Acanthosis nigricans,93
Acardia,4
Acariasis,2
Acarodermatitis,703
Accelerated hypertension,184
Accelerated idioventricular rhythm,57
Acceleromyography,3
Accessory auricle,45
Accessory breast,3
Accessory cardiac pathway,17
Accessory kidney,2
Accessory muscle,2
Accessory navicular syndrome,3
Accessory nerve disorder,8
Accessory renal artery,3
Accessory spleen,48
Accident,7201
Accidental death,761
Accidental device ingestion,34
Accidental device ingestion by a child,5
Accidental exposure to product,55553
Accidental exposure to product by child,4648
Accidental exposure to product by elderly person,7
Accidental exposure to product packaging,162
Accidental exposure to product packaging by child,15
Accidental overdose,18303
Accidental poisoning,397
Accidental underdose,6710
Accidental use of placebo,6
Accident at home,283
Accident at work,1325
Accommodation disorder,292
Acetabulum fracture,195
Acetate intolerance,2
Acetonaemia,106
Acetonaemic vomiting,13
Acetylcholinesterase deficiency,1
Achenbach syndrome,4
Achlorhydria,25
Achromobacter infection,52
Achromotrichia acquired,33
Achromotrichia congenital,3
Acid base balance,4
Acid base balance abnormal,115
Acid-base balance disorder mixed,42
Acid fast bacilli infection,47
Acidosis,3487
Acidosis hyperchloraemic,199
Acid peptic disease,14
Acinar cell carcinoma of pancreas,14
Acinetobacter bacteraemia,88
Acinetobacter infection,524
Acinetobacter sepsis,19
Acinetobacter test positive,92
Acinic cell carcinoma of salivary gland,11
Acne,57451
Acne conglobata,44
Acne cystic,1475
Acne fulminans,95
Acne infantile,4
Acne pustular,318
Acne tropica,1
Acne varioliformis,2
Acoustic neuritis,14
Acoustic neuroma,219
Acoustic neuroma removal,1
Acoustic shock,1
Acoustic stimulation tests abnormal,151
Acquired acrodermatitis enteropathica,10
Acquired amegakaryocytic thrombocytopenia,35
Acquired aminoaciduria,32
Acquired antithrombin III deficiency,11
Acquired apparent mineralocorticoid excess,33
Acquired blaschkoid dermatitis,3
Acquired bronchial cyst,2
Acquired C1 inhibitor deficiency,13
Acquired cardiac septal defect,33
Acquired cerebral palsy,3
Acquired chromosomal abnormality,1
Acquired claw toe,72
Acquired corneal dystrophy,26
Acquired coronary artery fistula,1
Acquired cystic kidney disease,41
Acquired diaphragmatic eventration,133
Acquired digital fibrokeratoma,2
Acquired dysfibrinogenaemia,6
Acquired enamel hypoplasia,1
Acquired epiblepharon,3
Acquired epidermolysis bullosa,72
Acquired epileptic aphasia,15
Acquired factor V deficiency,13
Acquired factor VIII deficiency,3
Acquired factor XI deficiency,2
Acquired foramen magnum stenosis,2
Acquired gene mutation,946
Acquired generalised lipodystrophy,5
Acquired growth hormone resistance,5
Acquired haemoglobinopathy,4
Acquired haemophilia,646
"Acquired haemophilia with anti FVIII, XI, or XIII",9
Acquired hepatocerebral degeneration,1
Acquired hydrocele,46
Acquired hypocalciuric hypercalcaemia,1
Acquired immunodeficiency syndrome,188
Acquired left ventricle outflow tract obstruction,10
Acquired macroglossia,54
Acquired mitochondrial DNA deletion,2
Acquired mitochondrial DNA mutation,12
Acquired mixed hyperlipidaemia,8
Acquired oesophageal web,172
Acquired perforating dermatosis,5
Acquired phimosis,72
Acquired pigmented retinopathy,42
Acquired plagiocephaly,15
Acquired porokeratosis,20
Acquired porphyria,34
Acquired protein S deficiency,6
Acquired pyrimidine metabolism disorder,2
Acquired right ventricle outflow obstruction,1
Acquired syringomyelia,15
Acquired thalassaemia,3
Acquired tracheo-oesophageal fistula,53
Acquired Von Willebrand's disease,56
Acral lentiginous melanoma,41
Acral lentiginous melanoma stage II,3
Acral lentiginous melanoma stage III,6
Acral overgrowth,26
Acral peeling skin syndrome,27
Acrocephalosyndactyly,1
Acrochordon,722
Acrochordon excision,15
Acrodermatitis chronica atrophicans,3
Acrodermatitis enteropathica,4
Acrodynia,7
Acrodysostosis,2
Acrokeratosis paraneoplastica,4
Acrokeratosis verruciformis,1
Acromegaly,209
Acrophobia,25
ACTH-producing pituitary tumour,5
ACTH stimulation test abnormal,11
Actinic cheilitis,23
Actinic elastosis,43
Actinic keratosis,1696
Actinic prurigo,1
Actinomyces test positive,43
Actinomycosis,274
