prod_ai,traducido,ATC code
clomipramine,Clomipramina,N06AA04
alaproclate,Alaproclato,N06AB07
desipramine,Desipramina,N06AA01
mianserin,Mianserina,N06AX03
doxepin,Doxepina,N06AA12
trazodone,Trazodona,N06AX05
sertraline,Sertralina,N06AB06
bifemelane,Bifemelano,N06AX08
trimipramine,Trimipramina,N06AA06
venlafaxine,Venlafaxina,N06AX16
mirtazapine,Mirtazapina,N06AX11
amoxapine,Amoxapina,N06AA17
tranylcypromine,Tranilcipromina,N06AF04
protriptyline,Protriptilina,N06AA11
fluvoxamine,Fluvoxamina,N06AB08
duloxetine,Duloxetina,N06AX21
isocarboxazid,Isocarboxazida,N06AF01
fluoxetine,Fluoxetina,N06AB03
maprotiline,Maprotilina,N06AA21
amitriptyline,Amitriptilina,N06AA09
bupropion,Bupropion,N06AX12
paroxetine,Paroxetina,N06AB05
nefazodone,Nefazodona,N06AX06
dosulepin,Dosulepin,N06AA16
reboxetine,Reboxetina,N06AX18
nortriptyline,Nortriptilina,N06AA10
dibenzepin,Dibenzepina,N06AA08
escitalopram,Escitalopram,N06AB10
