cluster_no,initial_node,end_node,distance,quantity
3128.0,0.0,5.0,0.0,2.0
3129.0,1025.0,1417.0,0.0,2.0
3130.0,1960.0,3129.0,0.0,3.0
3131.0,2.0,164.0,0.0,2.0
3132.0,3.0,51.0,0.0,2.0
3133.0,24.0,3128.0,0.0,3.0
3134.0,18.0,35.0,0.0,2.0
3135.0,33.0,3133.0,0.0,4.0
3136.0,168.0,550.0,0.0,2.0
3137.0,785.0,3136.0,0.0,3.0
3138.0,862.0,3137.0,0.0,4.0
3139.0,905.0,3138.0,0.0,5.0
3140.0,1015.0,3139.0,0.0,6.0
3141.0,1481.0,3140.0,0.0,7.0
3142.0,1651.0,3141.0,0.0,8.0
3143.0,1693.0,3142.0,0.0,9.0
3144.0,1887.0,3143.0,0.0,10.0
3145.0,2017.0,3144.0,0.0,11.0
3146.0,2133.0,3145.0,0.0,12.0
3147.0,2175.0,3146.0,0.0,13.0
3148.0,2179.0,3147.0,0.0,14.0
3149.0,2228.0,3148.0,0.0,15.0
3150.0,2276.0,3149.0,0.0,16.0
3151.0,2316.0,3150.0,0.0,17.0
3152.0,2389.0,3151.0,0.0,18.0
3153.0,2504.0,3152.0,0.0,19.0
3154.0,2832.0,3153.0,0.0,20.0
3155.0,2842.0,3154.0,0.0,21.0
3156.0,2872.0,3155.0,0.0,22.0
3157.0,2925.0,3156.0,0.0,23.0
3158.0,66.0,2822.0,0.0,2.0
3159.0,953.0,2803.0,0.0,2.0
3160.0,139.0,1832.0,0.0,2.0
3161.0,1858.0,2958.0,0.0,2.0
3162.0,44.0,2409.0,0.0,2.0
3163.0,909.0,1191.0,0.0,2.0
3164.0,659.0,1395.0,0.0,2.0
3165.0,2349.0,3164.0,0.0,3.0
3166.0,137.0,857.0,0.0,2.0
3167.0,1020.0,3166.0,0.0,3.0
3168.0,844.0,3131.0,0.0,3.0
3169.0,1189.0,3168.0,0.0,4.0
3170.0,1419.0,3169.0,0.0,5.0
3171.0,31.0,36.0,0.0,2.0
3172.0,86.0,3134.0,0.0,3.0
3173.0,97.0,3172.0,0.0,4.0
3174.0,121.0,3173.0,0.0,5.0
3175.0,128.0,3174.0,0.0,6.0
3176.0,140.0,3175.0,0.0,7.0
3177.0,141.0,3176.0,0.0,8.0
3178.0,153.0,3177.0,0.0,9.0
3179.0,154.0,3178.0,0.0,10.0
3180.0,245.0,3179.0,0.0,11.0
3181.0,294.0,3180.0,0.0,12.0
3182.0,316.0,3181.0,0.0,13.0
3183.0,335.0,3182.0,0.0,14.0
3184.0,350.0,3183.0,0.0,15.0
3185.0,380.0,3184.0,0.0,16.0
3186.0,384.0,3185.0,0.0,17.0
3187.0,393.0,3186.0,0.0,18.0
3188.0,420.0,3187.0,0.0,19.0
3189.0,425.0,3188.0,0.0,20.0
3190.0,479.0,3189.0,0.0,21.0
3191.0,513.0,3190.0,0.0,22.0
3192.0,539.0,3191.0,0.0,23.0
3193.0,545.0,3192.0,0.0,24.0
3194.0,595.0,3193.0,0.0,25.0
3195.0,620.0,3194.0,0.0,26.0
3196.0,625.0,3195.0,0.0,27.0
3197.0,629.0,3196.0,0.0,28.0
3198.0,642.0,3197.0,0.0,29.0
3199.0,692.0,3198.0,0.0,30.0
3200.0,696.0,3199.0,0.0,31.0
3201.0,704.0,3200.0,0.0,32.0
3202.0,705.0,3201.0,0.0,33.0
3203.0,708.0,3202.0,0.0,34.0
3204.0,723.0,3203.0,0.0,35.0
3205.0,731.0,3204.0,0.0,36.0
3206.0,740.0,3205.0,0.0,37.0
3207.0,782.0,3206.0,0.0,38.0
3208.0,808.0,3207.0,0.0,39.0
3209.0,847.0,3208.0,0.0,40.0
3210.0,863.0,3209.0,0.0,41.0
3211.0,875.0,3210.0,0.0,42.0
3212.0,904.0,3211.0,0.0,43.0
3213.0,915.0,3212.0,0.0,44.0
3214.0,928.0,3213.0,0.0,45.0
3215.0,1105.0,3214.0,0.0,46.0
3216.0,1146.0,3215.0,0.0,47.0
3217.0,1147.0,3216.0,0.0,48.0
3218.0,1148.0,3217.0,0.0,49.0
3219.0,1162.0,3218.0,0.0,50.0
3220.0,1226.0,3219.0,0.0,51.0
3221.0,1227.0,3220.0,0.0,52.0
3222.0,1230.0,3221.0,0.0,53.0
3223.0,1275.0,3222.0,0.0,54.0
3224.0,1276.0,3223.0,0.0,55.0
3225.0,1346.0,3224.0,0.0,56.0
3226.0,1391.0,3225.0,0.0,57.0
3227.0,1410.0,3226.0,0.0,58.0
3228.0,1421.0,3227.0,0.0,59.0
3229.0,1447.0,3228.0,0.0,60.0
3230.0,1460.0,3229.0,0.0,61.0
3231.0,1592.0,3230.0,0.0,62.0
3232.0,1603.0,3231.0,0.0,63.0
3233.0,1664.0,3232.0,0.0,64.0
3234.0,1666.0,3233.0,0.0,65.0
3235.0,1682.0,3234.0,0.0,66.0
3236.0,1726.0,3235.0,0.0,67.0
3237.0,1769.0,3236.0,0.0,68.0
3238.0,1803.0,3237.0,0.0,69.0
3239.0,1821.0,3238.0,0.0,70.0
3240.0,1835.0,3239.0,0.0,71.0
3241.0,1844.0,3240.0,0.0,72.0
3242.0,1862.0,3241.0,0.0,73.0
3243.0,1865.0,3242.0,0.0,74.0
3244.0,1872.0,3243.0,0.0,75.0
3245.0,1874.0,3244.0,0.0,76.0
3246.0,1881.0,3245.0,0.0,77.0
3247.0,1891.0,3246.0,0.0,78.0
3248.0,1898.0,3247.0,0.0,79.0
3249.0,1900.0,3248.0,0.0,80.0
3250.0,1901.0,3249.0,0.0,81.0
3251.0,1923.0,3250.0,0.0,82.0
3252.0,1925.0,3251.0,0.0,83.0
3253.0,1931.0,3252.0,0.0,84.0
3254.0,1954.0,3253.0,0.0,85.0
3255.0,1958.0,3254.0,0.0,86.0
3256.0,1975.0,3255.0,0.0,87.0
3257.0,1999.0,3256.0,0.0,88.0
3258.0,2004.0,3257.0,0.0,89.0
3259.0,2014.0,3258.0,0.0,90.0
3260.0,2019.0,3259.0,0.0,91.0
3261.0,2027.0,3260.0,0.0,92.0
3262.0,2030.0,3261.0,0.0,93.0
3263.0,2054.0,3262.0,0.0,94.0
3264.0,2060.0,3263.0,0.0,95.0
3265.0,2065.0,3264.0,0.0,96.0
3266.0,2103.0,3265.0,0.0,97.0
3267.0,2110.0,3266.0,0.0,98.0
3268.0,2120.0,3267.0,0.0,99.0
3269.0,2123.0,3268.0,0.0,100.0
3270.0,2144.0,3269.0,0.0,101.0
3271.0,2169.0,3270.0,0.0,102.0
3272.0,2215.0,3271.0,0.0,103.0
