index_pt,pt
0,5-hydroxyindolacetic acid in urine increased
1,5q minus syndrome
2,ADAMTS13 activity decreased
3,Abdominal adhesions
4,Abdominal distension
5,Abdominal fat apron
6,Abdominal hernia
7,Abdominal infection
8,Abdominal injury
9,Abdominal lymphadenopathy
10,Abdominal mass
11,Abdominal neoplasm
12,Abdominal operation
13,Abdominal pain
14,Abdominal sepsis
15,Abdominal wall haematoma
16,Abdominal wall haemorrhage
17,Abdominal wall mass
18,Abdominal wall wound
19,Abdominal wound dehiscence
20,Abnormal clotting factor
21,Abnormal faeces
22,Abnormal labour
23,Abnormal uterine bleeding
24,Abnormal weight gain
25,Abnormal withdrawal bleeding
26,Aborted pregnancy
27,Abortion
28,Abortion incomplete
29,Abortion threatened
30,Abscess bacterial
31,Abscess drainage
32,Abscess fungal
33,Abscess intestinal
34,Abscess jaw
35,Abscess limb
36,Abscess oral
37,Abscess sweat gland
38,Acantholysis
39,Acanthosis
40,Accelerated idioventricular rhythm
41,Accessory spleen
42,Accidental exposure to product
43,Accidental exposure to product packaging
44,Accidental overdose
45,Accidental underdose
46,Acetonaemia
47,Acid base balance abnormal
48,Acid-base balance disorder mixed
49,Acidosis hyperchloraemic
50,Acinetobacter test positive
51,Acne
52,Acne conglobata
53,Acne cystic
54,Acne fulminans
55,Acne pustular
56,Acquired claw toe
57,Acquired immunodeficiency syndrome
58,Acquired phimosis
59,Acquired porphyria
60,Acquired tracheo-oesophageal fistula
61,Actinic keratosis
62,Actinomycosis
63,Activated partial thromboplastin time abnormal
64,Acute abdomen
65,Acute cardiac event
66,Acute chest syndrome
67,Acute disseminated encephalomyelitis
68,Acute febrile neutrophilic dermatosis
69,Acute generalised exanthematous pustulosis
70,Acute graft versus host disease
71,Acute graft versus host disease in intestine
72,Acute graft versus host disease in skin
73,Acute hepatic failure
74,Acute left ventricular failure
75,Acute leukaemia
76,Acute lymphocytic leukaemia
77,Acute lymphocytic leukaemia recurrent
78,Acute macular neuroretinopathy
79,Acute myeloid leukaemia
80,Acute myeloid leukaemia recurrent
81,Acute myocardial infarction
82,Acute promyelocytic leukaemia differentiation syndrome
83,Acute pulmonary histoplasmosis
84,Acute right ventricular failure
85,Adams-Stokes syndrome
86,Addison's disease
87,Adenocarcinoma
88,Adenocarcinoma metastatic
89,Adenocarcinoma of colon
90,Adenocarcinoma of salivary gland
91,Adenocarcinoma of the cervix
92,Adenoid cystic carcinoma
93,Adenoidectomy
94,Adenoiditis
95,Adenoma benign
96,Adenotonsillectomy
97,Adenoviral haemorrhagic cystitis
98,Adenovirus infection
99,Adhesion
100,Adhesive tape use
101,Administration site discolouration
102,Administration site discomfort
103,Administration site extravasation
104,Administration site haemorrhage
105,Administration site indentation
106,Administration site induration
107,Administration site infection
108,Administration site inflammation
109,Administration site pain
110,Administration site pruritus
111,Administration site rash
112,Administration site reaction
113,Adnexa uteri pain
114,Adnexal torsion
115,Adrenal disorder
116,Adrenal haemorrhage
117,Adrenal mass
118,Adrenalitis
119,Adrenocortical carcinoma
120,Adrenocortical insufficiency acute
121,Adult failure to thrive
122,Adulterated product
123,Adverse drug reaction
124,Adverse food reaction
125,Adverse reaction
126,Aerophagia
127,Ageusia
128,Agraphia
129,Air embolism
130,Alanine aminotransferase
131,Albumin globulin ratio increased
132,Albumin urine
133,Alcohol test false positive
134,Allergic bronchitis
135,Allergic cough
136,Allergic eosinophilia
137,Allergic reaction to excipient
138,Allergic respiratory disease
139,Allergic respiratory symptom
140,Allergic transfusion reaction
141,Allergy to arthropod sting
142,Allergy to chemicals
143,Allergy to metals
144,Allogenic stem cell transplantation
145,Alopecia
146,Alopecia universalis
147,Alpha 1 foetoprotein abnormal
148,Alpha 1 foetoprotein increased
149,Alpha haemolytic streptococcal infection
150,Alpha-1 antitrypsin deficiency
151,Altered pitch perception
152,Alveolar proteinosis
153,Amblyopia
154,Amenorrhoea
155,American trypanosomiasis
