index_pt,pt
0,ADAMTS13 activity decreased
1,AST/ALT ratio abnormal
2,Abasia
3,Abdominal adhesions
4,Abdominal cavity drainage
5,Abdominal distension
6,Abdominal hernia
7,Abdominal hernia obstructive
8,Abdominal infection
9,Abdominal injury
10,Abdominal lymphadenopathy
11,Abdominal mass
12,Abdominal neoplasm
13,Abdominal operation
14,Abdominal pain
15,Abdominal pain upper
16,Abdominal rigidity
17,Abdominal sepsis
18,Abdominal wall abscess
19,Abdominal wall disorder
20,Abdominal wall haematoma
21,Abdominal wall haemorrhage
22,Abdominal wall wound
23,Abdominoplasty
24,Abnormal behaviour
25,Abnormal clotting factor
26,Abnormal dreams
27,Abnormal faeces
28,Abnormal loss of weight
29,Abnormal palmar/plantar creases
30,Abnormal uterine bleeding
31,Abnormal weight gain
32,Abnormal withdrawal bleeding
33,Abortion threatened
34,Abscess bacterial
35,Abscess drainage
36,Abscess fungal
37,Abscess intestinal
38,Abscess jaw
39,Abscess limb
40,Abscess oral
41,Abscess sterile
42,Abulia
43,Accelerated hypertension
44,Accelerated idioventricular rhythm
45,Accidental exposure to product
46,Accidental overdose
47,Accidental poisoning
48,Accidental underdose
49,Accommodation disorder
50,Acetonaemia
51,Acidosis hyperchloraemic
52,Acne
53,Acne cystic
54,Acne pustular
55,Acoustic stimulation tests abnormal
56,Acquired cardiac septal defect
57,Acquired oesophageal web
58,Acrochordon
59,Actinic keratosis
60,Actinomycosis
61,Action tremor
62,Activated partial thromboplastin time abnormal
63,Activated partial thromboplastin time prolonged
64,Activated partial thromboplastin time shortened
65,Activities of daily living impaired
66,Acute abdomen
67,Acute cardiac event
68,Acute disseminated encephalomyelitis
69,Acute endocarditis
70,Acute febrile neutrophilic dermatosis
71,Acute generalised exanthematous pustulosis
72,Acute hepatic failure
73,Acute left ventricular failure
74,Acute leukaemia
75,Acute lymphocytic leukaemia
76,Acute lymphocytic leukaemia recurrent
77,Acute macular neuroretinopathy
78,Acute myocardial infarction
79,Acute phosphate nephropathy
80,Acute psychosis
81,Acute pulmonary histoplasmosis
82,Acute respiratory distress syndrome
83,Acute respiratory failure
84,Acute stress disorder
85,Adactyly
86,Addison's disease
87,Adenocarcinoma
88,Adenocarcinoma gastric
89,Adenocarcinoma of colon
90,Adenoid cystic carcinoma
91,Adenoma benign
92,Adenotonsillectomy
93,Adenoviral encephalitis
94,Adenoviral haemorrhagic cystitis
95,Adenovirus infection
96,Adhesion
97,Adhesive tape use
98,Adjustment disorder with anxiety
99,Adjustment disorder with depressed mood
100,Adjustment disorder with mixed anxiety and depressed mood
101,Administration site bruise
102,Administration site cellulitis
103,Administration site discolouration
104,Administration site discomfort
105,Administration site extravasation
106,Administration site infection
107,Administration site pruritus
108,Administration site rash
109,Administration site reaction
110,Administration site swelling
111,Adnexa uteri cyst
112,Adnexa uteri pain
113,Adnexal torsion
114,Adrenal disorder
115,Adrenal gland cancer metastatic
116,Adrenal haemorrhage
117,Adrenal mass
118,Adrenal neoplasm
119,Adrenocortical insufficiency acute
120,Adult failure to thrive
121,Adverse drug reaction
122,Adverse food reaction
123,Affective disorder
124,Age-related macular degeneration
125,Ageusia
126,Agitation neonatal
127,Agraphia
128,Airway complication of anaesthesia
129,Alanine aminotransferase
130,Alanine aminotransferase decreased
131,Albumin globulin ratio decreased
132,Alcohol abuse
133,Alcohol poisoning
134,Alcohol rehabilitation
135,Alcohol test false positive
136,Alcohol test positive
137,Alcohol use disorder
138,Alcohol withdrawal syndrome
139,Alcoholic
140,Alcoholic hangover
141,Alcoholic liver disease
142,Alcoholic pancreatitis
143,Aldolase increased
144,Allergic bronchitis
145,Allergic cough
146,Allergic reaction to excipient
147,Allergic respiratory symptom
148,Allergy to animal
149,Allergy to arthropod sting
150,Allergy to chemicals
151,Allergy to immunoglobulin therapy
152,Allergy to metals
153,Allodynia
154,Alopecia
155,Alopecia universalis
156,Alpha 1 foetoprotein increased
157,Alpha haemolytic streptococcal infection
158,Altered visual depth perception
159,Alveolar bone resorption
160,Amblyopia
161,Amenorrhoea
162,Amino acid level decreased
163,Amino acid level increased
164,Ammonia abnormal
165,Amnesia
166,Amniorrhoea
167,Amniotic fluid volume decreased
168,Amniotic fluid volume increased
169,Amoebiasis
170,Amphetamines negative
171,Amphetamines positive
172,Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits
173,Amyloid related imaging abnormality-oedema/effusion
174,Amyloidosis
175,Amyotrophy
176,Anaemia
177,Anaemia of chronic disease
178,Anaemia vitamin B12 deficiency
179,Anaesthetic complication
180,Anal atresia
181,Anal cancer
182,Anal erythema
183,Anal fissure
184,Anal fissure haemorrhage
185,Anal haemorrhage
186,Anal incontinence
187,Anal inflammation
188,Anal pruritus
189,Anal skin tags
190,Anal squamous cell carcinoma
191,Anal stenosis
192,Anal ulcer
193,Analgesic drug level increased
194,Anaphylactic reaction
195,Anaplastic astrocytoma
196,Anaplastic large cell lymphoma T- and null-cell types
197,Anaplastic meningioma
198,Anastomotic leak
199,Anastomotic stenosis
200,Anastomotic ulcer
201,Androgen deficiency
202,Anencephaly
203,Angina bullosa haemorrhagica
204,Angina unstable
205,Angiodermatitis
206,Angioedema
207,Angiofibroma
208,Angiogram
209,Angiomyolipoma
210,Angiopathy
211,Angiosarcoma
212,Anhedonia
213,Anhidrosis
214,Animal scratch
215,Anion gap decreased
216,Anion gap increased
217,Anisocoria
218,Anisocytosis
219,Ankyloglossia congenital
220,Ankylosing spondylitis
221,Anogenital warts
222,Anorectal discomfort
223,Anorectal disorder
224,Anorectal infection
225,Anorectal operation
226,Anorectal swelling
227,Anorexia nervosa
228,Anorgasmia
229,Anosmia
230,Anti-cyclic citrullinated peptide antibody positive
231,Anti-interferon antibody positive
232,Anti-neutrophil cytoplasmic antibody positive vasculitis
233,Antibiotic level above therapeutic
234,Antibiotic level below therapeutic
235,Antibiotic therapy
236,Antibody test abnormal
237,Antibody test positive
238,Anticipatory anxiety
239,Anticoagulation drug level above therapeutic
240,Anticoagulation drug level below therapeutic
241,Anticoagulation drug level increased
242,Anticonvulsant drug level below therapeutic
243,Anticonvulsant drug level increased
244,Antidepressant discontinuation syndrome
245,Antidiuretic hormone abnormality
246,Antineutrophil cytoplasmic antibody positive
247,Antinuclear antibody
248,Antinuclear antibody increased
249,Antinuclear antibody positive
250,Antiphospholipid antibodies positive
251,Antiphospholipid syndrome
252,Antipsychotic drug level decreased
253,Antisocial behaviour
254,Antisocial personality disorder
255,Antisynthetase syndrome
256,Antiviral drug level above therapeutic
257,Anxiety
258,Aorta hypoplasia
259,Aortic calcification
260,Aortic dilatation
261,Aortic disorder
262,Aortic intramural haematoma
263,Aortic rupture
264,Aortic surgery
265,Aortic valve calcification
266,Aortic valve stenosis
267,Aortitis
268,Apallic syndrome
269,Aphagia
270,Aphasia
271,Aphonia
272,Aplasia pure red cell
273,Apnoea
274,Apnoea neonatal
275,Application site acne
276,Application site bruise
277,Application site discharge
278,Application site discomfort
279,Application site erosion
280,Application site erythema
281,Application site exfoliation
282,Application site haemorrhage
283,Application site hypersensitivity
284,Application site hypoaesthesia
285,Application site infection
286,Application site inflammation
287,Application site irritation
288,Application site laceration
289,Application site pain
290,Application site papules
291,Application site paraesthesia
292,Application site pruritus
293,Application site rash
294,Application site reaction
295,Application site scab
296,Application site scar
297,Application site urticaria
298,Application site vesicles
299,Aptyalism
300,Arachnoiditis
301,Arcus lipoides
302,Arrhythmia
303,Arterial haemorrhage
304,Arterial injury
305,Arterial insufficiency
306,Arterial rupture
307,Arterial spasm
308,Arteriosclerosis
309,Arteriovenous malformation
310,Arthralgia
311,Arthritis bacterial
312,Arthritis enteropathic
313,Arthritis infective
314,Arthritis reactive
315,Arthropathy
316,Arthropod sting
317,Arthroscopic surgery
318,Arthroscopy
319,Articular calcification
320,Asocial behaviour
321,Aspartate aminotransferase
322,Aspartate aminotransferase decreased
323,Aspartate aminotransferase increased
324,Aspiration pleural cavity
325,Asthenia
326,Asthenopia
327,Asthma
328,Asthma exercise induced
329,Asthma-chronic obstructive pulmonary disease overlap syndrome
330,Asthmatic crisis
331,Astrocytoma
332,Asymptomatic COVID-19
333,Atelectasis
334,Atheroembolism
335,Atonic seizures
336,Atrial fibrillation
337,Atrial flutter
338,Atrial septal defect repair
339,Atrioventricular block second degree
340,Atrioventricular dissociation
341,Atrophic vulvovaginitis
342,Atrophy
343,Atrophy of globe
