index_pt,pt
0,5-hydroxyindolacetic acid in urine increased
1,5q minus syndrome
2,Abdominal adhesions
3,Abdominal distension
4,Abdominal fat apron
5,Abdominal infection
6,Abdominal injury
7,Abdominal lymphadenopathy
8,Abdominal mass
9,Abdominal neoplasm
10,Abdominal operation
11,Abdominal pain
12,Abdominal sepsis
13,Abdominal wall haematoma
14,Abdominal wall haemorrhage
15,Abdominal wall mass
16,Abdominal wall wound
17,Abdominal wound dehiscence
18,Abnormal clotting factor
19,Abnormal labour
20,Abnormal uterine bleeding
21,Abnormal weight gain
22,Abnormal withdrawal bleeding
23,Aborted pregnancy
24,Abortion
25,Abortion incomplete
26,Abortion threatened
27,Abscess bacterial
28,Abscess drainage
29,Abscess fungal
30,Abscess jaw
31,Abscess limb
32,Abscess oral
33,Abscess sweat gland
34,Acantholysis
35,Acanthosis
36,Accelerated idioventricular rhythm
37,Accessory spleen
38,Accidental exposure to product
39,Accidental exposure to product packaging
40,Accidental overdose
41,Accidental underdose
42,Acetonaemia
43,Acid base balance abnormal
44,Acid-base balance disorder mixed
45,Acidosis hyperchloraemic
46,Acinetobacter test positive
47,Acne
48,Acne conglobata
49,Acne cystic
50,Acne pustular
51,Acquired claw toe
52,Acquired immunodeficiency syndrome
53,Acquired porphyria
54,Acquired tracheo-oesophageal fistula
55,Actinic keratosis
56,Actinomycosis
57,Activated partial thromboplastin time abnormal
58,Acute abdomen
59,Acute cardiac event
60,Acute disseminated encephalomyelitis
61,Acute febrile neutrophilic dermatosis
62,Acute generalised exanthematous pustulosis
63,Acute graft versus host disease
64,Acute graft versus host disease in intestine
65,Acute graft versus host disease in skin
66,Acute hepatic failure
67,Acute leukaemia
68,Acute lymphocytic leukaemia
69,Acute lymphocytic leukaemia recurrent
70,Acute macular neuroretinopathy
71,Acute myeloid leukaemia
72,Acute myocardial infarction
73,Acute promyelocytic leukaemia differentiation syndrome
74,Acute pulmonary histoplasmosis
75,Acute right ventricular failure
76,Adams-Stokes syndrome
77,Addison's disease
78,Adenocarcinoma
79,Adenocarcinoma metastatic
80,Adenocarcinoma of colon
81,Adenocarcinoma of the cervix
82,Adenoid cystic carcinoma
83,Adenoidectomy
84,Adenoiditis
85,Adenoma benign
86,Adenotonsillectomy
87,Adenoviral haemorrhagic cystitis
88,Adenovirus infection
89,Adhesion
90,Adhesive tape use
91,Administration site discolouration
92,Administration site discomfort
93,Administration site indentation
94,Administration site induration
95,Administration site infection
96,Administration site inflammation
97,Administration site pain
98,Administration site pruritus
99,Administration site reaction
100,Adnexa uteri pain
101,Adnexal torsion
102,Adrenal disorder
103,Adrenal haemorrhage
104,Adrenal mass
105,Adrenalitis
106,Adrenocortical carcinoma
107,Adrenocortical insufficiency acute
108,Adulterated product
109,Adverse drug reaction
110,Adverse food reaction
111,Adverse reaction
112,Aerophagia
113,Agraphia
114,Alanine aminotransferase
115,Albumin globulin ratio increased
116,Albumin urine
117,Aldolase increased
118,Allergic bronchitis
119,Allergic cough
120,Allergic eosinophilia
121,Allergic reaction to excipient
122,Allergic respiratory disease
123,Allergic respiratory symptom
124,Allergic transfusion reaction
125,Allergy to chemicals
126,Allogenic stem cell transplantation
127,Alopecia
128,Alpha 1 foetoprotein abnormal
129,Alpha 1 foetoprotein increased
130,Alpha haemolytic streptococcal infection
131,Altered pitch perception
132,Alveolar proteinosis
133,Amblyopia
134,Amenorrhoea
135,American trypanosomiasis
136,Amino acid level abnormal
137,Amniocentesis abnormal
138,Amniorrhoea
139,Amniotic fluid volume decreased
140,Amoebiasis
141,Amylase abnormal
142,Amyloidosis
143,Anaemia
144,Anaemia megaloblastic
145,Anaemia vitamin B12 deficiency
146,Anaesthetic complication
147,Anaesthetic complication neurological
148,Anal cancer
149,Anal erosion
150,Anal fissure
151,Anal haemorrhage
152,Anal hypoaesthesia
153,Anal inflammation
154,Anal injury
155,Anal pruritus
156,Anal ulcer
