index_pt,pt
0,ADAMTS13 activity decreased
1,Abdominal adhesions
2,Abdominal distension
3,Abdominal infection
4,Abdominal mass
5,Abdominal neoplasm
6,Abdominal operation
7,Abdominal wall haemorrhage
8,Abdominal wall wound
9,Abnormal faeces
10,Abnormal uterine bleeding
11,Abnormal weight gain
12,Abscess bacterial
13,Abscess drainage
14,Accelerated hypertension
15,Accelerated idioventricular rhythm
16,Accidental overdose
17,Accidental poisoning
18,Acetonaemia
19,Achlorhydria
20,Acidosis hyperchloraemic
21,Acinetobacter bacteraemia
22,Acne
23,Acne cystic
24,Acquired cardiac septal defect
25,Acquired claw toe
26,Acquired oesophageal web
27,Acrochordon
28,Actinic keratosis
29,Activated partial thromboplastin time abnormal
30,Activated partial thromboplastin time prolonged
31,Acute disseminated encephalomyelitis
32,Acute endocarditis
33,Acute febrile neutrophilic dermatosis
34,Acute hepatic failure
35,Acute hepatitis C
36,Acute left ventricular failure
37,Acute macular neuroretinopathy
38,Acute myocardial infarction
39,Acute painful neuropathy of rapid glycaemic control
40,Acute phosphate nephropathy
41,Acute psychosis
42,Acute pulmonary histoplasmosis
43,Acute respiratory distress syndrome
44,Acute stress disorder
45,Adactyly
46,Adenoma benign
47,Adenovirus test positive
48,Adjustment disorder with depressed mood
49,Adjustment disorder with mixed anxiety and depressed mood
50,Administration site cellulitis
51,Administration site discolouration
52,Administration site discomfort
53,Administration site pruritus
54,Administration site rash
55,Administration site reaction
56,Adnexa uteri pain
57,Adnexal torsion
58,Adrenal neoplasm
59,Adverse food reaction
60,Affect lability
61,Agnosia
62,Alanine aminotransferase decreased
63,Albumin globulin ratio increased
64,Alcohol abuse
65,Alcohol poisoning
66,Alcohol rehabilitation
67,Alcohol use disorder
68,Alcoholic hangover
69,Alcoholic pancreatitis
70,Aldolase increased
71,Allergic cough
72,Allergic reaction to excipient
73,Allergic respiratory symptom
74,Allergy to animal
75,Allergy to immunoglobulin therapy
76,Alopecia universalis
77,Alpha haemolytic streptococcal infection
78,Altered visual depth perception
79,Amenorrhoea
80,Ammonia abnormal
81,Amnesia
82,Amniotic fluid volume increased
83,Amputation stump pain
84,Anaemia of chronic disease
85,Anal cancer
86,Anal fissure
87,Anal haemorrhage
88,Anal incontinence
89,Anal inflammation
90,Anal skin tags
91,Anal squamous cell carcinoma
92,Anastomotic ulcer
93,Androgen deficiency
94,Anencephaly
95,Angina bullosa haemorrhagica
96,Angioimmunoblastic T-cell lymphoma
97,Angiopathy
98,Animal scratch
99,Anisocytosis
100,Anogenital warts
101,Anorectal disorder
102,Anorectal infection
103,Anti factor X activity increased
104,Anti-cyclic citrullinated peptide antibody positive
105,Anti-interferon antibody positive
106,Anticoagulation drug level above therapeutic
107,Anticoagulation drug level below therapeutic
108,Anticoagulation drug level increased
109,Antisocial personality disorder
110,Antisynthetase syndrome
111,Anxiety
112,Aorta hypoplasia
113,Aortic dilatation
114,Aortic rupture
115,Aortic surgery
116,Aortic valve repair
117,Aortic valve stenosis
118,Aortitis
