index_pt,pt
499,Dental implantation
1428,Pupil fixed
794,Haemodynamic instability
792,Haemochromatosis
1701,Vascular occlusion
206,Blood alcohol
1294,Paraproteinaemia
323,Carcinoid tumour
1208,Norovirus test positive
91,Anal squamous cell carcinoma
1564,Spondylolisthesis
1405,Product quality issue
69,Alcoholic pancreatitis
143,Arthritis bacterial
361,Cervical radiculopathy
668,Faecal calprotectin increased
1281,Pancreatitis chronic
151,Atrophic vulvovaginitis
1687,Urine abnormality
845,Hiccups
350,Cerebellar stroke
268,Brain abscess
907,Impetigo
1132,Middle ear effusion
960,Infusion site reaction
1671,Tumour flare
167,Balance disorder
1464,Respiratory rate decreased
1539,Social avoidant behaviour
966,Injection site cyst
1446,Recurrent cancer
411,Colon injury
648,Eye complication associated with device
718,Fumbling
1517,Skin burning sensation
353,Cerebral thrombosis
594,Emergency care
1401,Product package associated injury
934,Incorrect route of drug administration
1014,Intrusive thoughts
1124,Menstruation irregular
882,Hypervolaemia
952,Infrequent bowel movements
861,Hyperbilirubinaemia neonatal
223,Blood homocysteine increased
1739,White blood cells urine positive
1328,Pharyngeal haemorrhage
1695,Vaginal lesion
1725,Vulvovaginal pain
1573,Stenotrophomonas infection
755,Genito-pelvic pain/penetration disorder
1266,Ovarian failure
817,Heart injury
1098,Lymphocele
481,Death of relative
944,Infective exacerbation of chronic obstructive airways disease
45,Adactyly
610,Enlarged uvula
827,Hepatic adenoma
1054,Left ventricular failure
958,Infusion site irritation
988,Insulin resistance
395,Clinical death
1192,Neutropenic colitis
173,Basophil count decreased
929,Incorrect dose administered
767,Glioblastoma
47,Adenovirus test positive
750,General physical health deterioration
567,Dyskinesia
1404,Product prescribing error
948,Inflammatory bowel disease
872,Hypersensitivity
543,Drug administered at inappropriate site
1215,Obstructive airways disorder
4,Abdominal mass
1193,Neutrophil count decreased
1412,Progressive multifocal leukoencephalopathy
383,Choroidal haemorrhage
432,Congenital tricuspid valve incompetence
1356,Polyhydramnios
324,Carcinoid tumour of the gastrointestinal tract
1697,Varicella zoster virus infection
1228,Oesophageal squamous cell carcinoma
1443,Rectal polyp
440,Corneal operation
1206,Non-infectious endophthalmitis
61,Agnosia
218,Blood culture negative
179,Benign lung neoplasm
1738,White blood cell disorder
1009,Intra-abdominal fluid collection
233,Blood pressure orthostatic decreased
655,Eye ulcer
92,Anastomotic ulcer
248,Blood viscosity increased
644,Extrasystoles
1491,Screaming
993,Intercepted drug dispensing error
207,Blood blister
284,Breast disorder female
769,Glioma
1436,Rapid eye movement sleep behaviour disorder
288,Breast haematoma
671,Failure to thrive
871,Hyperreflexia
420,Computerised tomogram thorax abnormal
831,Hepatic haematoma
482,Debridement
785,Gun shot wound
976,Injection site necrosis
1194,Neutrophilic dermatosis
892,Hypoperfusion
149,Atheroembolism
1252,Organic brain syndrome
1673,Tumour pain
7,Abdominal wall haemorrhage
615,Enterococcal sepsis
814,Hanging
254,Bone fissure
131,Application site laceration
1291,Paraneoplastic neurological syndrome
1151,Muscle contractions involuntary
1240,Opiates positive
1646,Tongue discomfort
1720,Vulval disorder
51,Administration site discolouration
1702,Vascular operation
513,Device dispensing error
1433,Radial nerve compression
1511,Short-bowel syndrome
1016,Irregular breathing
197,Blast cell crisis
919,Inadequate diet
633,Exposure to fungus
1234,Omphalitis
689,Fibromuscular dysplasia
511,Device deposit issue
1498,Secondary immunodeficiency
170,Basal ganglia stroke
833,Hepatic mass
1159,Myasthenia gravis
1316,Periorbital pain
987,Instillation site pain
617,Enzyme abnormality
810,"Hallucination, olfactory"
235,Blood sodium abnormal
203,Blister infected
205,Blood albumin increased
1245,Oral discomfort
1475,Rheumatoid arthritis
1644,Toe amputation
1734,Wheelchair user
80,Ammonia abnormal
1284,Papule
1380,Premenstrual syndrome
744,Gastrointestinal stoma complication
366,Chalazion
1197,No reaction on previous exposure to drug
1518,Skin depigmentation
549,Drug effect decreased
830,Hepatic fibrosis
146,Asthenia
1036,Kyphoscoliosis
688,Female orgasmic disorder
1285,Paraesthesia
1631,Thrombocytopenia
1178,Nasopharyngitis
475,Dactylitis
1078,Liver function test increased
1355,Polycystic ovaries
502,Dependence on respirator
922,Incision site dermatitis
932,Incorrect drug dosage form administered
