index_pt,pt
469,Blood follicle stimulating hormone decreased
1427,Family stress
1695,Haemorrhage subcutaneous
2140,Ischaemia
2602,Neutrophilia
1731,Heart valve incompetence
3032,Product packaging issue
926,Corneal oedema
1184,Drug specific antibody present
63,Acute graft versus host disease
1542,Gastric ulcer haemorrhage
1817,Hydronephrosis
2755,Pancreatic carcinoma metastatic
2765,Pancreatitis acute
314,Atypical mycobacterial infection
2296,Low density lipoprotein decreased
97,Administration site pain
3338,Skin reaction
589,Breast cancer stage IV
2452,Metastatic neoplasm
1175,Drug level below therapeutic
1711,Hair growth abnormal
2447,Metastasis
2092,International normalised ratio fluctuation
3438,Sunburn
1287,Enterococcal infection
1585,General symptom
62,Acute generalised exanthematous pustulosis
1582,General physical condition abnormal
2776,Paralysis
1409,Facial paresis
3099,Pulmonary oedema
24,Abortion
933,Coronary artery disease
1606,Gingival disorder
3435,Sudden hearing loss
841,Coagulation time prolonged
3474,Tendon pain
2638,Ocular toxicity
3708,Viral mutation identified
1966,Infantile spitting up
2386,Mechanical ileus
1107,Diabetic retinal oedema
3602,Tumour pseudoprogression
1339,Ewing's sarcoma
1049,Detachment of retinal pigment epithelium
1750,Hepatic cancer stage III
25,Abortion incomplete
2756,Pancreatic carcinoma stage III
3215,Retinal vascular occlusion
546,Bone infarction
2541,Nasal cavity cancer
3325,Skin hypopigmentation
793,Cholesteatoma
915,Contrast encephalopathy
3500,Therapeutic product ineffective for unapproved indication
2814,Peptic ulcer perforation
762,Cervix carcinoma stage II
1894,Immune-mediated gastritis
2349,Magnetic resonance imaging
0,5-hydroxyindolacetic acid in urine increased
2727,Ovarian cancer stage I
3507,Therapy responder
3530,Thyroiditis subacute
210,Anticoagulation drug level decreased
3467,Takayasu's arteritis
1873,Hypotony of eye
2486,Mucosal ulceration
725,Cell marker increased
925,Corneal lesion
1134,Disease susceptibility
2477,Morphoea
2616,Non-Hodgkin's lymphoma recurrent
1572,Gastrointestinal stenosis
2030,Injection site hypertrophy
797,Chondrolysis
3256,Scleral discolouration
2069,Insulin-like growth factor abnormal
2275,Listeria sepsis
294,Asthenospermia
3522,Thymoma
384,Biliary cyst
1699,Haemorrhagic ascites
2821,Pericarditis infective
194,Anti-erythrocyte antibody positive
267,Arterial bypass operation
668,Cardiac failure high output
1868,Hypophosphataemic osteomalacia
1455,Fingerprint loss
320,Autoimmune dermatitis
2274,Listeria encephalitis
1852,Hypertrophy
1421,Failure of child resistant mechanism for pharmaceutical product
1840,Hyperproteinaemia
2065,Instillation site pruritus
2456,Microvascular coronary artery disease
1830,Hypergammaglobulinaemia
1354,Exposure to extreme temperature
94,Administration site induration
612,Bronchomalacia
3670,Vaginal ulceration
2892,Pleural thickening
412,Bladder papilloma
1261,Endocarditis noninfective
341,BRAF gene mutation
879,Combined pulmonary fibrosis and emphysema
1310,Epiploic appendagitis
3596,Tumour invasion
3524,Thyroid cancer recurrent
3408,Stasis dermatitis
2662,Oesophagobronchial fistula
1593,Genital herpes simplex
2251,Limb amputation
939,Coronary revascularisation
3542,Tongue spasm
2760,Pancreatic haemorrhage
774,Chemotherapy toxicity attenuation
1886,Iliotibial band syndrome
449,Blood chloride abnormal
2225,Left atrial appendage closure implant
325,Autoimmune lymphoproliferative syndrome
1920,Implant site hypersensitivity
2677,Oral blood blister
3509,Thoracic outlet syndrome
2652,Oesophageal mass
178,Angiokeratoma
2144,Itching scar
949,Cow's milk intolerance
232,Apocrine breast carcinoma
301,Atopy
224,Aortic valve repair
975,Cystitis radiation
360,Basal ganglia haematoma
2999,Product compounding quality issue
2669,Open globe injury
2355,Malignant anorectal neoplasm
131,Altered pitch perception
2172,Keratorhexis
3586,Trigeminal nerve disorder
2970,Presbyopia
2142,Ischaemic enteritis
2531,Myotonia
1690,Haemophilia
3289,Serous retinopathy
444,Blood brain barrier defect
1459,Fistula repair
3574,Traumatic fracture
265,Arm amputation
266,Arrhythmic storm
2874,Pilonidal disease
2287,Local anaesthetic systemic toxicity
2837,Peripheral nerve operation
3073,Pruritus allergic
1799,Histiocytic necrotising lymphadenitis
3190,Renal vasculitis
19,Abnormal labour
1432,Fat redistribution
764,Cervix neoplasm
2702,Oropharyngeal swelling
2438,Metastases to kidney
2004,Infusion site phlebitis
2396,Medical device site joint infection
2895,Pneumococcal infection
2856,Pharyngeal fistula
2679,Oral discharge
223,Aortic valve prolapse
2384,Mean platelet volume decreased
3583,Treponema test positive
3160,Refractoriness to platelet transfusion
2955,Precancerous mucosal lesion
2472,Mononeuritis
2377,Mastocytosis
2334,Lymphocyte percentage increased
899,Congenital neurological disorder
116,Albumin urine
179,Angiolymphoid hyperplasia with eosinophilia
3264,Scrotal cyst
3222,Reynold's syndrome
1863,Hypogonadism male
1600,Giant papillary conjunctivitis
931,Coronary angioplasty
686,Cardiolipin antibody positive
33,Abscess sweat gland
363,Basilar artery aneurysm
324,Autoimmune hypothyroidism
2968,Premature menopause
1829,Hypercreatininaemia
1962,Increased viscosity of bronchial secretion
1479,Folliculitis
3766,Wound dehiscence
3551,Tooth injury
831,Cirrhosis alcoholic
2374,Mass excision
904,Conjunctival erosion
2574,Nephropathy toxic
498,Blood pressure orthostatic decreased
422,Bleeding time abnormal
2175,Ketonuria
607,Bronchial irritation
2382,Maternal exposure timing unspecified
3159,Red man syndrome
3510,Thoracic vertebral fracture
1671,Haematocrit increased
2963,Pregnancy with contraceptive device
1316,Epstein-Barr virus associated lymphoproliferative disorder
1536,Gastric mucosal lesion
2323,Lupus nephritis
2975,Primary biliary cholangitis
1642,Graft versus host disease in liver
561,Botulism
783,Chloroma
1981,Infertility female
2610,Nocardiosis
3612,Ultrafiltration failure
869,Colorectal cancer stage II
1645,Granulocyte count decreased
1881,IgA nephropathy
394,Biopsy kidney abnormal
3729,Vocal cord polyp
3617,Upper airway obstruction
840,Coagulation time abnormal
2157,Joint fluid drainage
521,Body height below normal
1684,Haemoglobinaemia
1939,Incarcerated inguinal hernia
1471,Foetal growth abnormality
3219,Retinal vein thrombosis
1558,Gastrointestinal fistula
3076,Pseudomonas test positive
3019,Product dropper issue
1278,Enlarged clitoris
1632,Gonorrhoea
1707,Haemosiderin stain
1923,Implant site irritation
2415,Meningococcal sepsis
1045,Dermatophytosis of nail
1802,Histology abnormal
2990,Product advertising issue
3734,Vulvar dysplasia
650,Capillary disorder
901,Congenital teratoma
1844,Hypertensive cardiomyopathy
1476,Foetal malposition
23,Aborted pregnancy
1386,Eye opacity
2148,Jaw clicking
1876,Idiopathic generalised epilepsy
896,Congenital eye disorder
1805,Hodgkin's disease nodular sclerosis
3005,Product contamination with body fluid
2624,Nontherapeutic agent urine positive
1504,Fundoscopy abnormal
96,Administration site inflammation
1324,Erythema migrans
3554,Topical steroid withdrawal reaction
3237,SAPHO syndrome
3112,Purpura fulminans
1008,Decreased insulin requirement
2428,Mesothelioma malignant
3376,Spinal cord operation
355,Bacteroides infection
1932,In vitro fertilisation
3170,Renal cancer recurrent
2067,Instillation site swelling
497,Blood pressure orthostatic abnormal
1867,Hypopharyngeal cancer
1598,Genital swelling
3570,Transplant evaluation
654,Carbohydrate antigen 15-3 increased
3623,Ureteral stent insertion
351,Bacterial prostatitis
1185,Drug therapeutic incompatibility
1221,Ear infection staphylococcal
2645,Oedematous kidney
1073,Device inversion
2072,Insulinoma
2862,Pharyngitis bacterial
2549,Nasal polypectomy
2697,Organ transplant
3466,Tachyphylaxis
3384,Splenic cyst
2703,Orthodontic procedure
2803,Penile abscess
567,Brain lobectomy
3299,Sideroblastic anaemia
2207,Large intestinal ulcer
3480,Teratoma benign
3300,Signet-ring cell carcinoma
15,Abdominal wall mass
496,Blood pressure normal
2566,Neoplasm of appendix
1472,Foetal heart rate deceleration abnormality
1812,Human metapneumovirus test positive
575,Brain stem thrombosis
1928,Implant site urticaria
919,Coombs negative haemolytic anaemia
3287,Serositis
1963,Increased viscosity of upper respiratory secretion
2112,Intestinal strangulation
3703,Victim of homicide
2547,Nasal mucosal ulcer
2371,Manufacturing production issue
176,Angiogram abnormal
1268,Endometrial stromal sarcoma
1877,Idiopathic interstitial pneumonia
1628,Glycosylated haemoglobin
3630,Urethral valves
3367,Spermatogenesis abnormal
2327,Lymph nodes scan abnormal
2160,Joint prosthesis user
1066,Device effect incomplete
192,Anti factor Xa activity decreased
897,Congenital eyelid malformation
3276,Self-consciousness
3340,Skin squamous cell carcinoma metastatic
2336,Lymphocytic infiltration
1362,Exposure via inhalation
378,Beta 2 microglobulin increased
1051,Developmental glaucoma
2542,Nasal crusting
2210,Large intestine operation
2385,Measles
568,Brain mass
3154,Rectosigmoid cancer
2501,Muscle hypertrophy
3129,Rapid correction of hyponatraemia
483,Blood ketone body present
1794,High-grade B-cell lymphoma
756,Cerebrovascular insufficiency
2786,Parkinsonism hyperpyrexia syndrome
3082,Pterygium
3613,Underweight
1544,Gastric varices
1685,Haemoglobinuria
3433,Substance dependence
1227,Ear tube insertion
3686,Vasoconstriction
745,Cerebral calcification
1467,Foetal cardiac disorder
976,Cystitis viral
2766,Pancreatitis haemorrhagic
112,Aerophagia
1576,Gastrointestinal tract adenoma
2900,Pneumomediastinum
3293,Shortened cervix
1294,Enterovesical fistula
2369,Mantle cell lymphoma recurrent
1965,Infantile spasms
2844,Peritoneal dialysis
3179,Renal haematoma
2280,Liver carcinoma ruptured
2611,Nocturnal dyspnoea
1237,Eczema asteatotic
246,Application site hypoaesthesia
3166,Renal artery stenosis
3615,Unintended pregnancy
3275,Seizure cluster
3702,Vestibular neuronitis
21,Abnormal weight gain
465,Blood electrolytes abnormal
1597,Genital rash
27,Abscess bacterial
132,Alveolar proteinosis
1675,Haematoma muscle
2410,Meningitis listeria
1200,Duplicate therapy error
222,Aortic rupture
806,Chronic allograft nephropathy
2710,Osteomalacia
3378,Spinal epidural haematoma
139,Amniotic fluid volume decreased
2964,Pregnancy with implant contraceptive
3210,Retinal oedema
1094,Diabetes mellitus inadequate control
1954,Incorrect product administration duration
1374,Eye burns
2154,Joint contracture
221,Aortic intramural haematoma
1520,Gallbladder pain
163,Anaplastic large cell lymphoma T- and null-cell types
800,Chorioretinal atrophy
1368,Extraocular muscle paresis
1929,Implantable defibrillator insertion
1994,Infusion site cellulitis
2134,Investigation
2588,Neuromyelitis optica spectrum disorder
2687,Oral mucosal eruption
2326,Lymph node tuberculosis
2176,Ketosis
3418,Stoma complication
183,Anisocytosis
