index_pt,pt
1428,Pupil fixed
1433,Radial nerve compression
265,Brachiocephalic vein thrombosis
1412,Progressive multifocal leukoencephalopathy
1443,Rectal polyp
103,Anti factor X activity increased
157,Autoimmune pancreatitis
826,Heparin-induced thrombocytopenia
1519,Skin discomfort
1639,Tic
1239,Open angle glaucoma
773,Glomerulosclerosis
709,Forced expiratory volume decreased
771,Glomerulonephritis minimal lesion
1734,Wheelchair user
229,Blood pressure diastolic abnormal
390,Chronic myeloid leukaemia
1244,Oral administration complication
91,Anal squamous cell carcinoma
1564,Spondylolisthesis
1224,Oesophageal obstruction
39,Acute painful neuropathy of rapid glycaemic control
1091,Lung cyst
1486,Sacroiliitis
1740,White matter lesion
1141,Morton's neuralgia
1435,Radiation skin injury
429,Congenital nystagmus
639,External ear cellulitis
765,Glassy eyes
1132,Middle ear effusion
1388,Product commingling
1512,Sickle cell anaemia
749,Gastrostomy
724,Gastric cancer stage IV
1349,Pneumonia klebsiella
922,Incision site dermatitis
363,Cervix carcinoma stage 0
682,Feeling drunk
311,C-reactive protein abnormal
1293,Paraplegia
499,Dental implantation
994,Intercepted product dispensing error
211,Blood cholesterol decreased
341,Catheter placement
1016,Irregular breathing
197,Blast cell crisis
919,Inadequate diet
387,Chronic hepatic failure
1420,Pseudoporphyria
1197,No reaction on previous exposure to drug
1518,Skin depigmentation
170,Basal ganglia stroke
511,Device deposit issue
689,Fibromuscular dysplasia
1498,Secondary immunodeficiency
971,Injection site hyperaesthesia
1226,Oesophageal perforation
931,Incorrect drug administration rate
366,Chalazion
1090,Lung carcinoma cell type unspecified stage III
945,Infective myositis
1511,Short-bowel syndrome
1702,Vascular operation
513,Device dispensing error
1407,Product substitution
1187,Neurodegenerative disorder
554,Drug screen false positive
652,Eye injury
201,Blindness cortical
480,Death
104,Anti-cyclic citrullinated peptide antibody positive
413,Colour vision tests abnormal
1676,Ulna fracture
1340,Piloerection
1683,Urethritis noninfective
1612,Tendon calcification
1496,Sebaceous gland infection
641,Extradural neoplasm
393,Circumcision
174,Bed rest
15,Accelerated idioventricular rhythm
165,Bacterial food poisoning
75,Allergy to immunoglobulin therapy
1525,Skin odour abnormal
191,Biopsy liver
507,Dermatofibrosarcoma protuberans
776,Glucose urine present
1074,Liquid product physical issue
1533,Sleep talking
1128,Metabolic surgery
608,Energy increased
1027,Joint surgery
812,Halo vision
1234,Omphalitis
1072,Lipoedema
126,Application site erosion
603,Endometrial thickening
1006,Intestinal mass
301,Bronchopulmonary dysplasia
636,Exposure via breast milk
847,High density lipoprotein decreased
60,Affect lability
1719,Vulval cellulitis
1628,Thoracic outlet syndrome
1493,Scrotal cyst
1470,Retinal vascular occlusion
1269,POEMS syndrome
1238,Oophorectomy bilateral
1101,Macrophages increased
1075,Listeria sepsis
1063,Limb amputation
722,Gallbladder necrosis
484,Decompression sickness
365,Cervix neoplasm
307,Bursa injury
287,Breast fibroma
116,Aortic valve repair
136,Arm amputation
1622,Therapeutic product ineffective for unapproved indication
1051,Laryngeal injury
138,Arrhythmic storm
316,Caffeine consumption
419,Computerised tomogram head abnormal
459,Creatinine urine decreased
1160,Myasthenic syndrome
89,Anal inflammation
1321,Perivascular dermatitis
226,Blood immunoglobulin G abnormal
1721,Vulval ulceration
187,Bilirubin conjugated abnormal
1205,Non-consummation
1413,Progressive multiple sclerosis
51,Administration site discolouration
1037,Kyphosis
1139,Mononeuropathy
583,"Ear, nose and throat infection"
152,Atrophy of globe
338,Cast application
153,Attention-seeking behaviour
949,Inflammatory pain
953,Infusion
1541,Solar dermatitis
475,Dactylitis
1282,Pancreatitis relapsing
181,Benzodiazepine drug level decreased
1371,Postmortem blood drug level abnormal
194,Bladder irritation
743,Gastrointestinal sounds abnormal
770,Glomerular filtration rate abnormal
481,Death of relative
933,Incorrect product formulation administered
1157,Muscle twitching
1689,Uterine dilation and curettage
843,Herpes dermatitis
1034,Klebsiella infection
1485,Saccadic eye movement
92,Anastomotic ulcer
233,Blood pressure orthostatic decreased
248,Blood viscosity increased
394,Cirrhosis alcoholic
1109,Mass excision
173,Basophil count decreased
1192,Neutropenic colitis
944,Infective exacerbation of chronic obstructive airways disease
45,Adactyly
610,Enlarged uvula
814,Hanging
1549,Spigelian hernia
606,Endotracheal intubation complication
766,Glaucomatous optic disc atrophy
1173,Nail pitting
1473,Retrograde ejaculation
894,Hyporeflexia
1279,Pancreatic mass
351,Cerebral amyloid angiopathy
378,Chondrosarcoma
1461,Resorption bone increased
1364,Post inflammatory pigmentation change
335,Carotid artery stenosis
336,Carpal tunnel decompression
50,Administration site cellulitis
784,Grunting
18,Acetonaemia
1365,Post procedural diarrhoea
1233,Oligomenorrhoea
1331,Pharyngeal ulceration
