index_pt,cluster,pt
0,8,Abasia
1,8,Abdominal abscess
2,8,Abdominal adhesions
3,8,Abdominal discomfort
4,8,Abdominal distension
5,8,Abdominal hernia
6,8,Abdominal infection
7,8,Abdominal injury
8,8,Abdominal mass
9,8,Abdominal neoplasm
10,8,Abdominal operation
11,8,Abdominal pain
12,8,Abdominal pain lower
13,8,Abdominal pain upper
14,8,Abdominal tenderness
15,8,Abdominoplasty
16,8,Abnormal behaviour
17,8,Abnormal dreams
18,8,Abnormal faeces
19,8,Abnormal loss of weight
20,8,Abnormal sleep-related event
21,8,Abortion induced
22,8,Abortion missed
23,8,Abortion spontaneous
24,8,Abscess
25,8,Abscess intestinal
26,8,Abscess jaw
27,8,Abscess limb
28,8,Abulia
29,8,Accident
30,8,Accident at work
31,8,Accidental death
32,8,Accidental exposure to product
33,8,Accidental exposure to product by child
34,8,Accidental overdose
35,8,Accidental underdose
36,8,Acidosis
37,8,Acne
38,8,Acrochordon
39,8,Actinic keratosis
40,8,Actinomycosis
41,8,Activated partial thromboplastin time prolonged
42,8,Activities of daily living impaired
43,8,Acute abdomen
44,8,Acute coronary syndrome
45,8,Acute generalised exanthematous pustulosis
46,8,Acute hepatic failure
47,8,Acute kidney injury
48,8,Acute lymphocytic leukaemia recurrent
49,8,Acute myeloid leukaemia
50,8,Acute myocardial infarction
51,8,Acute promyelocytic leukaemia
52,8,Acute psychosis
53,8,Acute respiratory distress syndrome
54,8,Acute respiratory failure
55,8,Acute sinusitis
56,8,Adenocarcinoma gastric
57,8,Adenocarcinoma of colon
58,8,Adenocarcinoma pancreas
59,8,Adenoma benign
60,8,Adjustment disorder with depressed mood
61,8,Administration site pain
62,8,Adnexa uteri pain
63,8,Adrenal disorder
64,8,Adrenal gland cancer
65,8,Adrenal insufficiency
66,8,Adult failure to thrive
67,8,Adverse drug reaction
68,8,Adverse event
69,8,Adverse food reaction
70,8,Adverse reaction
71,8,Affective disorder
72,8,Age-related macular degeneration
73,8,Ageusia
74,8,Aggression
75,8,Agitated depression
76,8,Agitation
77,8,Agoraphobia
78,8,Agranulocytosis
79,8,Akathisia
80,8,Akinesia
81,8,Alanine aminotransferase increased
82,8,Alcohol abuse
83,8,Alcohol poisoning
84,8,Alcohol use
85,8,Alcohol withdrawal syndrome
86,8,Alcoholic hangover
87,8,Alcoholism
88,8,Allergic cough
89,8,Allergic reaction to excipient
90,8,Allergy to arthropod sting
91,8,Allergy to chemicals
92,8,Alopecia
93,8,Alopecia areata
94,8,Alopecia totalis
95,8,Altered state of consciousness
96,8,Altered visual depth perception
97,8,Amaurosis fugax
98,8,Amenorrhoea
99,3,Amino acid level decreased
100,8,Ammonia abnormal
101,8,Ammonia increased
102,8,Amnesia
103,7,Amputation
104,8,Amyloidosis
105,8,Amyotrophic lateral sclerosis
106,8,Anaemia
107,8,Anaemia postoperative
108,8,Anal abscess
109,8,Anal fistula
110,8,Anal haemorrhage
111,8,Anal incontinence
112,8,Anal pruritus
113,1,Anal squamous cell carcinoma
114,8,Anaphylactic reaction
115,8,Anaphylactic shock
116,8,Anastomotic ulcer
117,8,Aneurysm
118,8,Anger
119,8,Angina pectoris
120,8,Angioedema
121,8,Angiopathy
122,8,Angioplasty
123,8,Angle closure glaucoma
124,8,Angular cheilitis
125,8,Anhedonia
126,8,Animal bite
127,8,Anion gap increased
128,8,Ankle arthroplasty
129,8,Ankle fracture
130,8,Ankylosing spondylitis
131,8,Anorectal discomfort
132,8,Anorectal disorder
133,8,Anorexia nervosa
134,8,Anorgasmia
135,8,Anosmia
136,8,Anosognosia
137,8,Anterograde amnesia
138,7,Anti-neutrophil cytoplasmic antibody positive vasculitis
139,8,Antidepressant drug level above therapeutic
140,7,Antidepressant drug level below therapeutic
141,8,Antidepressant drug level increased
142,8,Antinuclear antibody positive
143,8,Antiphospholipid syndrome
144,8,Antipsychotic drug level above therapeutic
145,8,Antipsychotic drug level below therapeutic
146,8,Antipsychotic drug level increased
147,8,Anuria
148,8,Anxiety
149,8,Anxiety disorder
150,8,Aortic aneurysm
151,8,Aortic dilatation
152,8,Aortic stenosis
153,7,Aortic valve incompetence
154,8,Aortic valve replacement
155,8,Apathy
156,8,Aphasia
157,8,Aphonia
158,8,Aphthous ulcer
159,8,Apnoea
160,4,Apnoea test abnormal
161,8,Apparent death
162,8,Appendicectomy
163,8,Appendicitis
164,8,Appendicitis perforated
165,8,Appendix disorder
166,8,Appetite disorder
167,8,Application site acne
168,8,Application site bruise
169,8,Application site burn
170,3,Application site discolouration
171,8,Application site erythema
172,8,Application site exfoliation
173,8,Application site haemorrhage
174,8,Application site infection
175,8,Application site irritation
176,8,Application site pain
177,8,Application site pruritus
178,8,Application site rash
179,8,Application site reaction
180,8,Apraxia
181,8,Arachnoiditis
182,8,Arrhythmia
183,8,Arrhythmia supraventricular
184,8,Arterial occlusive disease
185,8,Arterial thrombosis
186,8,Arteriosclerosis
187,8,Arteriovenous malformation
188,8,Arthralgia
189,8,Arthritis
190,8,Arthritis bacterial
191,8,Arthritis infective
192,8,Arthropathy
193,8,Arthropod bite
194,8,Arthroscopy
195,8,Ascites
196,7,Asocial behaviour
197,8,Aspartate aminotransferase decreased
198,8,Aspartate aminotransferase increased
199,8,Aspergillus infection
200,8,Asphyxia
201,8,Aspiration
202,8,Asthenia
203,8,Asthenopia
204,7,Asthma
205,8,Ataxia
206,8,Atelectasis
207,8,Atrial fibrillation
208,8,Atrial flutter
209,8,Atrial septal defect repair
210,8,Atrial tachycardia
211,8,Atrial thrombosis
212,8,Atrioventricular block
213,8,Atrioventricular block complete
214,8,Atrioventricular block first degree
215,8,Atrophic vulvovaginitis
216,8,Atypical femur fracture
217,8,Atypical pneumonia
218,8,Auditory disorder
219,8,Aura
220,8,Autoimmune disorder
221,8,Autoimmune haemolytic anaemia
222,8,Autoimmune hepatitis
223,8,Autoimmune thyroiditis
224,8,Autonomic nervous system imbalance
225,8,Axillary mass
226,8,B-cell lymphoma
227,8,Back disorder
228,8,Back injury
229,8,Back pain
230,8,Bacteraemia
231,8,Bacterial infection
232,8,Bacterial sepsis
233,8,Bacterial test positive
234,8,Bacterial vaginosis
235,8,Balance disorder
236,7,Balanoposthitis
237,8,Bankruptcy
238,8,Barrett's oesophagus
239,8,Basal cell carcinoma
240,8,Basedow's disease
241,8,Bedridden
242,8,Behaviour disorder
243,8,Behcet's syndrome
244,8,Benign breast neoplasm
245,8,Benign intracranial hypertension
246,8,Benign neoplasm
247,8,Benign prostatic hyperplasia
248,8,Beta haemolytic streptococcal infection
249,8,Bicytopenia
250,8,Bile duct obstruction
251,8,Biliary colic
252,8,Biliary dyskinesia
253,7,Biliary tract disorder
254,8,Binge eating
255,1,Biopsy bone marrow abnormal
256,8,Bipolar I disorder
257,8,Bipolar II disorder
258,8,Bipolar disorder
259,8,Bladder cancer
260,8,Bladder catheterisation
261,8,Bladder dilatation
262,8,Bladder discomfort
263,8,Bladder disorder
264,8,Bladder pain
265,8,Bladder prolapse
266,8,Blepharitis
267,8,Blepharospasm
268,8,Blindness
269,8,Blindness transient
270,8,Blindness unilateral
271,8,Blister
272,8,Blister infected
273,8,Blister rupture
274,8,Blood albumin decreased
275,8,Blood alkaline phosphatase increased
276,8,Blood blister
277,8,Blood calcium abnormal
278,8,Blood calcium increased
279,8,Blood chloride decreased
280,8,Blood cholesterol abnormal
281,8,Blood cholesterol decreased
282,5,Blood cholesterol increased
283,8,Blood count abnormal
284,5,Blood creatine increased
285,8,Blood creatine phosphokinase increased
286,8,Blood creatinine abnormal
287,8,Blood creatinine decreased
288,8,Blood creatinine increased
289,8,Blood disorder
290,8,Blood electrolytes decreased
291,8,Blood glucose abnormal
292,8,Blood glucose decreased
293,8,Blood glucose fluctuation
294,8,Blood glucose increased
295,7,Blood immunoglobulin G decreased
296,1,Blood immunoglobulin G increased
297,8,Blood iron abnormal
298,8,Blood iron decreased
299,8,Blood iron increased
300,8,Blood lactate dehydrogenase increased
301,8,Blood loss anaemia
302,8,Blood magnesium decreased
303,8,Blood phosphorus decreased
304,8,Blood potassium abnormal
305,8,Blood potassium decreased
306,8,Blood pressure abnormal
307,8,Blood pressure decreased
308,8,Blood pressure diastolic abnormal
309,8,Blood pressure diastolic increased
310,8,Blood pressure fluctuation
311,8,Blood pressure inadequately controlled
312,8,Blood pressure increased
313,8,Blood pressure systolic increased
314,8,Blood sodium decreased
315,8,Blood sodium increased
316,7,Blood test abnormal
317,8,Blood testosterone abnormal
318,8,Blood testosterone increased
319,8,Blood thyroid stimulating hormone decreased
320,8,Blood thyroid stimulating hormone increased
321,8,Blood triglycerides increased
322,8,Blood urea increased
