feature,importance,pt
0,0.0106008295,Abasia
1,0.008527577,Abasia
2,0.014718626,Abasia
3,0.06574715,Abasia
4,0.09642916,Abasia
5,0.051992647,Abasia
6,0.016707757,Abasia
7,0.015950792,Abasia
8,0.007262989,Abasia
9,0.07777766,Abasia
10,0.0025566416,Abasia
11,0.038350545,Abasia
12,0.13048375,Abasia
13,0.051906493,Abasia
14,0.0020979883,Abasia
15,0.048273474,Abasia
16,0.07838825,Abasia
17,0.03331816,Abasia
18,0.032937743,Abasia
19,0.011625826,Abasia
20,0.020028073,Abasia
21,0.032930784,Abasia
22,0.1341738,Abasia
23,0.0070820116,Abasia
24,0.0023434905,Abasia
25,0.0077877683,Abasia
0,0.032783866,Abdominal abscess
1,0.044470657,Abdominal abscess
2,0.037679538,Abdominal abscess
3,0.08175382,Abdominal abscess
4,0.03456254,Abdominal abscess
5,0.051794115,Abdominal abscess
6,0.013794995,Abdominal abscess
7,0.025968406,Abdominal abscess
8,0.0066691474,Abdominal abscess
9,0.09785845,Abdominal abscess
10,0.021407286,Abdominal abscess
11,0.018468121,Abdominal abscess
12,0.12461273,Abdominal abscess
13,0.032707915,Abdominal abscess
14,0.0064081186,Abdominal abscess
15,0.009485252,Abdominal abscess
16,0.03378263,Abdominal abscess
17,0.031173402,Abdominal abscess
18,0.06017152,Abdominal abscess
19,0.02162571,Abdominal abscess
20,0.03714422,Abdominal abscess
21,0.016145006,Abdominal abscess
22,0.09960613,Abdominal abscess
23,0.007966846,Abdominal abscess
24,0.044605058,Abdominal abscess
25,0.007354559,Abdominal abscess
0,0.028748434,Abdominal adhesions
1,0.02567161,Abdominal adhesions
2,0.034864977,Abdominal adhesions
3,0.035802566,Abdominal adhesions
4,0.076654494,Abdominal adhesions
5,0.010732812,Abdominal adhesions
6,0.005518287,Abdominal adhesions
7,0.039691575,Abdominal adhesions
8,0.06034785,Abdominal adhesions
9,0.02367872,Abdominal adhesions
10,0.00184559,Abdominal adhesions
