feature,importance,pt
0,0.056601419937134335,ADAMTS13 activity decreased
1,0.05385515683957033,ADAMTS13 activity decreased
2,0.0,ADAMTS13 activity decreased
3,0.0,ADAMTS13 activity decreased
4,0.048859493155493615,ADAMTS13 activity decreased
5,0.0,ADAMTS13 activity decreased
6,0.006135290049897792,ADAMTS13 activity decreased
7,0.0,ADAMTS13 activity decreased
8,0.0,ADAMTS13 activity decreased
9,0.0,ADAMTS13 activity decreased
10,0.020261597008080487,ADAMTS13 activity decreased
11,0.030060297685772785,ADAMTS13 activity decreased
12,0.10212819418425964,ADAMTS13 activity decreased
13,0.0,ADAMTS13 activity decreased
14,0.0,ADAMTS13 activity decreased
15,0.0428877729740969,ADAMTS13 activity decreased
16,0.0,ADAMTS13 activity decreased
17,0.0013723933461561376,ADAMTS13 activity decreased
18,0.0033266244631640794,ADAMTS13 activity decreased
19,0.101066068386598,ADAMTS13 activity decreased
20,0.03920026820791268,ADAMTS13 activity decreased
21,0.1,ADAMTS13 activity decreased
22,0.22934617703407287,ADAMTS13 activity decreased
23,0.0,ADAMTS13 activity decreased
24,0.0,ADAMTS13 activity decreased
25,0.16489924672779038,ADAMTS13 activity decreased
0,0.07837591205252974,AST/ALT ratio abnormal
1,0.03594215895256314,AST/ALT ratio abnormal
2,0.0,AST/ALT ratio abnormal
3,0.0,AST/ALT ratio abnormal
4,0.1,AST/ALT ratio abnormal
5,0.1796853390514685,AST/ALT ratio abnormal
6,0.0,AST/ALT ratio abnormal
7,0.0,AST/ALT ratio abnormal
8,0.0,AST/ALT ratio abnormal
9,0.1007820836294917,AST/ALT ratio abnormal
10,0.027299109647038234,AST/ALT ratio abnormal
11,0.0,AST/ALT ratio abnormal
12,0.0,AST/ALT ratio abnormal
13,0.0,AST/ALT ratio abnormal
14,0.0,AST/ALT ratio abnormal
15,0.0,AST/ALT ratio abnormal
16,0.08437250199596837,AST/ALT ratio abnormal
17,0.0,AST/ALT ratio abnormal
18,0.008787131152634745,AST/ALT ratio abnormal
19,0.0,AST/ALT ratio abnormal
20,0.0,AST/ALT ratio abnormal
21,0.1,AST/ALT ratio abnormal
22,0.2634991050820591,AST/ALT ratio abnormal
23,0.021256658436246502,AST/ALT ratio abnormal
24,0.0,AST/ALT ratio abnormal
25,0.0,AST/ALT ratio abnormal
0,0.0035863789622268324,Abasia
1,0.006745161129948128,Abasia
2,0.011913816715956184,Abasia
3,0.0017451400328000733,Abasia
4,0.032508383778157686,Abasia
5,0.06263064873079384,Abasia
6,0.1349637979188202,Abasia
7,0.041375051283565036,Abasia
8,0.0,Abasia
9,0.029492654434823726,Abasia
10,0.02602423530664945,Abasia
11,0.0012227704555984032,Abasia
12,0.07292787223988319,Abasia
13,0.03962691351039015,Abasia
14,0.030425552617131972,Abasia
15,0.03458367349964566,Abasia
16,0.04333590626658841,Abasia
17,0.0020037198932844795,Abasia
18,0.023355813653644617,Abasia
19,0.00586651554186815,Abasia
20,0.2056561041419236,Abasia
21,0.026521595052399975,Abasia
22,0.022203078455221615,Abasia
23,0.05262516221333453,Abasia
24,0.030123597402509226,Abasia
25,0.05853645676283472,Abasia
0,0.018903144959074226,Abdominal adhesions
1,0.06546226954879765,Abdominal adhesions
2,0.002264261727593202,Abdominal adhesions
3,0.018605133578028666,Abdominal adhesions
4,0.002134097842662385,Abdominal adhesions
5,0.045859244165572695,Abdominal adhesions
6,0.08876535818732703,Abdominal adhesions
7,0.0,Abdominal adhesions
8,0.0,Abdominal adhesions
9,0.03417238032023599,Abdominal adhesions
10,0.03941614534790229,Abdominal adhesions
11,0.009749454682788644,Abdominal adhesions
12,0.029403898893760848,Abdominal adhesions
13,0.02153162224350668,Abdominal adhesions
14,0.04844312923017937,Abdominal adhesions
15,0.0,Abdominal adhesions
16,0.0009487727676555539,Abdominal adhesions
17,0.0,Abdominal adhesions
18,0.058356996709866736,Abdominal adhesions
19,0.002131838207871898,Abdominal adhesions
20,0.050272191205906924,Abdominal adhesions
21,0.08534597247981014,Abdominal adhesions
22,0.34464438356453,Abdominal adhesions
23,0.0,Abdominal adhesions
24,0.0,Abdominal adhesions
25,0.03358970433692908,Abdominal adhesions
0,0.0042428603930975885,Abdominal cavity drainage
1,0.03640168905527345,Abdominal cavity drainage
2,0.011015145700828713,Abdominal cavity drainage
3,6.651018491664852e-05,Abdominal cavity drainage
4,0.0945942433217013,Abdominal cavity drainage
5,0.09893095729872149,Abdominal cavity drainage
6,0.011251622285043516,Abdominal cavity drainage
7,0.02236552723672231,Abdominal cavity drainage
8,0.0,Abdominal cavity drainage
9,0.009595815394255757,Abdominal cavity drainage
10,0.0,Abdominal cavity drainage
11,0.09353128197877779,Abdominal cavity drainage
12,0.005520610984035191,Abdominal cavity drainage
13,0.09356563886317944,Abdominal cavity drainage
14,0.0,Abdominal cavity drainage
15,0.06280184823717624,Abdominal cavity drainage
16,0.0008417750801637489,Abdominal cavity drainage
17,0.0,Abdominal cavity drainage
18,0.006803856005464864,Abdominal cavity drainage
19,0.0002570615138432246,Abdominal cavity drainage
20,0.07047184786151103,Abdominal cavity drainage
21,0.1,Abdominal cavity drainage
22,0.13307795377513046,Abdominal cavity drainage
23,0.0,Abdominal cavity drainage
24,0.0,Abdominal cavity drainage
25,0.14466375483015728,Abdominal cavity drainage
0,0.021617690714319522,Abdominal distension
1,0.006945809817406745,Abdominal distension
2,0.02462958082355383,Abdominal distension
3,0.05164115731886718,Abdominal distension
4,0.014873056499980017,Abdominal distension
5,0.01812180965782466,Abdominal distension
6,0.15915843088377613,Abdominal distension
7,0.02394687206572066,Abdominal distension
8,0.10298301816305284,Abdominal distension
9,0.09400952786177044,Abdominal distension
10,0.05121512772075598,Abdominal distension
11,0.033038711414654975,Abdominal distension
12,0.05655660217304544,Abdominal distension
13,0.0333596159763729,Abdominal distension
14,0.07615608081224548,Abdominal distension
15,0.024545145275991068,Abdominal distension
16,0.005570880809457968,Abdominal distension
17,0.020738382866260875,Abdominal distension
18,0.05197883911113912,Abdominal distension
19,0.005137071607404494,Abdominal distension
20,0.0,Abdominal distension
21,0.02955935435491615,Abdominal distension
22,0.001501197292209848,Abdominal distension
23,0.09213794464907042,Abdominal distension
24,0.0005780921302033119,Abdominal distension
25,0.0,Abdominal distension
0,0.011312788527778471,Abdominal hernia
1,0.005884478021460822,Abdominal hernia
2,0.0,Abdominal hernia
3,0.024166828835472186,Abdominal hernia
4,0.0,Abdominal hernia
5,0.02943519726173331,Abdominal hernia
6,0.07859850987595571,Abdominal hernia
7,0.0,Abdominal hernia
8,0.0,Abdominal hernia
9,0.02306419781417821,Abdominal hernia
10,0.07494756135268615,Abdominal hernia
11,0.027586916031682167,Abdominal hernia
12,0.04675109128938253,Abdominal hernia
13,0.04387659963187704,Abdominal hernia
14,0.007065844915540318,Abdominal hernia
15,0.05694435094664347,Abdominal hernia
16,0.05233270095869864,Abdominal hernia
17,0.015336512738346351,Abdominal hernia
18,0.09707124156129106,Abdominal hernia
19,0.027798889899534843,Abdominal hernia
20,0.17254013207855193,Abdominal hernia
21,0.02634303735901772,Abdominal hernia
22,0.09321099905118983,Abdominal hernia
23,0.022960484473903215,Abdominal hernia
24,0.04566375656946558,Abdominal hernia
25,0.017107880805610546,Abdominal hernia
0,0.06462225768763445,Abdominal hernia obstructive
1,0.05118010904125977,Abdominal hernia obstructive
2,0.03389440558730017,Abdominal hernia obstructive
3,0.09392633023449248,Abdominal hernia obstructive
4,0.03980624585513113,Abdominal hernia obstructive
5,0.0105089718527289,Abdominal hernia obstructive
6,0.01784144416599024,Abdominal hernia obstructive
7,0.0,Abdominal hernia obstructive
8,0.0,Abdominal hernia obstructive
9,0.009961935078459015,Abdominal hernia obstructive
10,0.0,Abdominal hernia obstructive
11,0.12395696191527958,Abdominal hernia obstructive
12,0.0414748060699339,Abdominal hernia obstructive
13,0.0,Abdominal hernia obstructive
