pt,mean_mae_rf,std_mae_rf,z_mae_rf
Potentiating drug interaction,0.029142594537815113,0.025383248122663276,"[ 0.45960347 -0.46253473  0.25682963  0.66237732  2.77701885 -1.09740998
 -0.87049639  0.22062001  0.58030219 -1.06602831  1.87660641 -0.67496447
 -0.6532387  -1.1336196  -0.31286832 -0.31528229 -0.37563165 -0.82945883
 -0.51564216  0.0902654   0.1747545  -0.55185178 -0.98395319  2.27974013
  1.35760193 -0.59288934 -0.41908319  0.11923309]"
Aortic aneurysm,0.030066137566137543,0.03334991496595292,"[ 0.27010373 -0.48507616 -0.12414459  0.45731219  0.30818003 -0.83648865
 -0.29469467 -0.50649408  0.27565653 -0.22885441 -0.34942935  4.43073244
 -0.58661295 -0.74129791  0.0733762  -0.03054036 -0.59692528 -0.22885441
 -0.23837348 -0.7595428  -0.85156052 -0.1891916   0.21933534  1.80108818
  0.04878526  0.0733762  -0.33197772 -0.57788713]"
Escherichia sepsis,0.030284992784992783,0.026499766079432826,"[-0.37096355  0.83926249  0.18173811 -0.38049289 -0.02790735 -1.00942926
 -0.60919702  0.69632241 -0.06602471  0.94408522  2.3830154   0.69632241
 -1.13331067 -0.59966769 -0.57107967 -0.39955157 -0.74260777 -0.71401975
 -0.41861025 -0.92366521 -0.85695984 -0.35190487 -0.87601851 -0.15178876
  0.45808894  2.79277697 -0.70449041  1.91607779]"
Long QT syndrome,0.03070754163734458,0.031243843408859474,"[-0.09333295  1.2625992  -0.31669387  0.36127221 -0.09201907 -0.88954893
 -0.70429076 -0.55976311 -0.19975786 -0.68326855 -0.96706831  1.59895447
 -0.89874615 -0.76210182  0.76726352 -0.61888805 -0.53348535  0.08010023
  0.73310244 -0.9040017  -0.7423935  -0.06836909 -0.49144094  2.43852874
  0.72916078 -0.43494377 -0.89086282  2.87999502]"
Intentional overdose,0.030766769073220672,0.03114879609694084,"[-0.50361881 -0.23960169  0.01661637  0.30927262  0.71488729 -0.85892319
  0.09230553 -0.70677774  0.09064344  0.58198376 -0.03944732  0.03962996
 -0.04609569 -0.46679705 -0.84179085 -0.7218005   0.34826789 -0.07403164
 -0.70121612 -0.6726409  -0.08278959 -0.57860478 -0.5381392   3.56735886
 -0.13738296 -0.85067665 -0.61414801  2.91351697]"
Obsessive-compulsive disorder,0.03155691964285714,0.03497570300471242,"[-0.51011532 -0.89480697  0.04582617  0.17612496  1.28056229 -0.0050524
  0.2654727  -0.40463535 -0.22842175  0.1773659  -0.6950155   0.28036399
  0.73827115 -0.47412803 -0.49026026  0.09794569 -0.26192715  0.28160493
 -0.43069511 -0.88860227 -0.27433656 -0.53741602 -0.37112995  4.51445409
 -0.26689092 -0.7769176  -0.73348467  0.38584396]"
Self-injurious ideation,0.032302295918367335,0.03875606498644277,"[-0.17113845 -0.24601153 -0.25369082  1.08634522  0.47968134 -0.82963754
 -0.39575768 -0.58582009 -0.01179319  0.58143193  0.29729821  0.10147633
 -0.33240354 -0.06170858 -0.37847927 -0.57238134 -0.30552602  0.26274141
 -0.62229672 -0.21913401 -0.82195825 -0.47831004 -0.58773992  4.67257347
 -0.28056833 -0.05594911 -0.59733903  0.32609555]"
Blood test abnormal,0.03235785358919687,0.026067989603710894,"[ 0.53077266  0.35805173  0.31797284  0.87716879  0.71876175 -0.89775353
 -1.1095991  -0.1877846  -0.41203554 -0.53131795  1.77226403  0.93728713
 -0.75270612 -1.24128688 -0.86149168 -0.76415723  1.25982678 -0.6849537
 -0.74316352  0.09085912 -0.34237461 -0.80328186 -0.74411778  1.86387293
  0.55749192  2.60628667 -1.09242243 -0.72216982]"
Somnambulism,0.03247236394557822,0.02357847332832145,"[ 8.14060455e-01  1.62739962e-01  7.98913467e-01 -6.19403624e-02
  7.69070293e-02  5.41865471e-02 -2.15934742e-01 -5.18874506e-01
 -7.48603827e-01  1.17208837e-03 -5.76937961e-01  2.19748538e+00
  3.24307837e-01 -3.21963660e-01 -5.11301012e-01 -9.60661662e-01
  5.94429126e-01 -9.10171701e-01 -2.61375707e-01 -3.59831130e-01
 -1.28632191e+00 -5.76937961e-01 -1.09698456e+00  3.17446612e+00
 -4.96154024e-01  3.52077315e-01 -1.26360143e+00  1.61685083e+00]"
Drug resistance,0.03251719951436662,0.03268363048813722,"[ 5.86192835e-01 -7.50050294e-01  4.12739190e-04 -8.48179036e-02
 -4.47409282e-01 -7.78219744e-01  4.39567238e-01 -1.24544051e-01
 -2.39388730e-01  4.58346871e-01 -8.71395616e-01  3.21936569e-02
 -9.68905250e-01 -5.68032311e-01 -5.12415705e-01 -5.87534238e-01
 -4.32241117e-01  2.51048613e-01  2.71272833e-01 -6.97322862e-01
  6.21585221e-01  4.85794027e-01 -6.35927908e-01  2.01127808e+00
 -1.11542766e-01 -6.07036164e-01 -7.78942037e-01  4.03803387e+00]"
Photopsia,0.03278911564625848,0.030339721367777062,"[-0.17040592 -0.08408187 -0.6844264   0.15527118  0.24944287 -0.91200798
 -0.19002502 -0.11154861 -0.27634907  0.01008982  1.43051283 -0.73543606
  0.70852986 -1.0689608  -0.31166345 -0.15863446 -0.28812053  0.36323366
  0.09641387 -0.73543606  0.83409212 -0.34697784 -0.49215919  4.31059703
  0.20235703 -1.07288462 -0.70796932 -0.0134531 ]"
Corneal abrasion,0.03288690476190475,0.03044205652469454,"[-0.18704132  0.08670278 -0.02855789 -0.30230199 -0.79936364  0.32442792
 -0.90742052  0.09390658 -0.05016927 -0.61206505  4.32253252  1.6139067
 -0.76334468 -0.97225465 -0.60486126 -0.44637783 -0.31670957 -0.05737306
 -0.43917404  0.51893031  0.6197834  -0.475193   -0.66969538 -0.33111716
  0.02186865  0.32442792 -0.5688423   0.60537581]"
Chemotherapy,0.03307823129251699,0.025946401831947654,"[-0.13928504 -0.95942812 -1.12575084 -0.01884445  0.46865319 -0.57516528
  0.55468218  0.99629769 -0.15075557 -0.25972563  1.75335284 -0.35722516
 -0.46619522 -0.25399036 -0.95369285 -0.39163676  0.60629958 -1.2691325
 -0.08766764 -1.19457404  0.10159615 -0.43751889 -0.48913628  1.82217603
  0.95041556  3.19863994 -0.90781072 -0.41457782]"
Scratch,0.03310374149659862,0.02579026961342795,"[ 0.89517229 -0.93275963 -0.24959316 -0.05572159 -1.218951   -1.28357485
  0.02736622 -0.60040838  0.55358905 -0.12957743 -0.8127439   0.00890227
  1.51371491  0.19354185 -0.56348046 -0.8127439   0.40587738 -0.91429568
 -0.78504796  0.3966454   0.73822864 -0.12034545 -0.44346473  2.55692858
  0.1750779  -0.24036118 -1.13586318  2.83388797]"
Blood calcium increased,0.03311484998623725,0.02525590114789723,"[-0.19733324 -1.10137423 -0.15155901  0.68954242  0.35005023 -0.19733324
 -0.22403487  0.01818708 -0.08099041  1.23311137  1.66796653  1.61837778
 -0.37280111 -0.7218296  -0.73136589 -0.81337805  0.66474804 -0.87059584
 -0.60930129 -1.24632595 -1.22725336 -0.40713178 -0.83054339  2.6387616
 -0.22022035  1.68322461 -1.21962432  0.65902627]"
Major depression,0.03319091796875,0.0319963483257791,"[ 0.1957163  -0.75501475  0.16722998  0.08990996 -0.75298001  0.46837112
  0.63878037 -0.21428328 -0.63852603  0.18757735 -0.4966031   0.33662187
 -0.45590835 -0.55306706 -0.52763284 -0.57799259 -0.532211   -0.92389795
  0.54721719 -0.31500278 -0.52661547  0.4526019   0.033446    2.79560202
 -0.36129306 -0.91423295 -0.91118084  3.54336801]"
Appetite disorder,0.03331038764712232,0.03174314948802482,"[-0.26596803 -0.10464385 -0.77434751 -0.66600434  1.43359104 -0.74220174
  0.78293673 -0.84042494  0.06084736  0.6864994  -0.35823831 -0.27073036
  0.50612588  0.16145173 -0.24691868 -0.75827463 -0.89876357 -0.74101115
  0.36980398 -0.87614247 -0.82792381  0.48886241 -0.51241897  3.50282653
  0.12752008 -0.31835373 -1.02972784  2.11162879]"
Inflammatory bowel disease,0.0333447802197802,0.03488539824682728,"[-5.05645711e-01 -9.19087370e-01 -8.50180427e-01 -3.28128301e-04
 -8.86930797e-01 -5.14833304e-01 -2.16236550e-01 -1.33548218e-01
 -3.90800806e-01  1.47428046e+00  4.00086837e+00  3.53394180e-01
 -8.68555612e-01 -6.61834783e-01 -3.95394602e-01  1.32891962e-01
  2.47736867e-01  8.86274540e-01  1.01030704e+00 -7.12366541e-01
 -6.80209967e-01 -8.76102563e-02 -3.99988399e-01  1.22162166e+00
  1.09922981e-01 -1.01391645e-01 -3.35675252e-01 -7.76679688e-01]"
Pelvic prolapse,0.03348214285714284,0.034734797892744175,"[ 1.51516552 -0.84398004 -0.48411038 -0.64405245  0.59549861 -0.9639366
 -0.24419727 -0.24419727 -0.9639366   1.43519449  0.95536827  0.47554205
  0.95536827  0.87539723 -0.9639366  -0.9639366  -0.36415383  0.71545516
 -0.60406693 -0.9639366  -0.9639366  -0.9639366  -0.36415383  2.95464417
 -0.9639366   1.27525242 -0.24419727 -0.00428416]"
Cystitis noninfective,0.03361528822055136,0.037175366131330136,"[ 1.14862356  0.11039595 -0.21994919 -0.51490021  0.08679987 -0.55029434
 -0.77445712 -0.86884144 -0.65647671  0.20478028  0.19298224  2.28123549
  0.19298224 -0.58568846  0.22837636 -0.5974865   0.06320379  3.98015338
 -0.19635311 -0.66827475 -0.83344732 -0.7980532  -0.00758445 -0.37332372
 -0.40871785 -0.12556486  0.122194   -0.43231393]"
Arrhythmia,0.03363056519225209,0.02751216449685424,"[-0.62762981  1.3162395  -0.03523501  0.12527639  0.05145691 -1.15145917
 -0.59006331 -0.03970096  0.25886076  0.19121479 -0.84724934  1.7162045
 -1.13018025 -1.01695534 -0.76173958 -0.82557636 -0.22083453 -0.47710111
 -0.05598853 -0.43546271  0.38968675  0.09506557 -0.61672764  2.66429887
  0.7468312  -0.24001184 -1.10758781  2.62436805]"
Vertigo positional,0.03364955357142857,0.030320482530576766,"[ 0.40183331 -0.62882311  0.28159006 -0.38833662 -0.52575747 -1.00673047
 -0.50857986 -0.76624397 -0.38833662  0.8828063   0.8656287   1.31224648
  4.0606636  -0.90366483  0.02392595 -0.69753354  0.47054373 -0.90366483
 -0.04478448 -0.90366483 -0.04478448 -0.95519765 -0.04478448 -0.21656055
 -0.38833662  0.31594527 -0.18220533  0.8828063 ]"
Craniocerebral injury,0.033650153609831014,0.03018434810361774,"[-0.18505079  0.52207351 -0.6926841  -0.40235347  3.91520145 -0.56265873
 -0.45578856 -0.74255685  0.06787528  1.11698413  1.53021546 -0.52169183
 -1.04535567 -0.58403276 -0.35069956 -0.0853053  -0.20998716 -0.79777311
 -0.25985991 -0.43797686  1.00477045 -0.48428727 -0.78530492  0.76075023
  0.88899443  0.05006359 -0.98657708 -0.26698459]"
Completed suicide,0.0336529493902709,0.027041856529185716,"[ 0.06404584  0.38756857 -0.19227722  0.04754096  3.65378251 -1.17097139
 -0.83064032 -0.70482218  0.2391089   1.12831591 -0.90933777  0.32547716
  0.36612402 -0.96898464 -0.03022925 -0.99209822  0.32402729 -1.15193767
 -0.62808037  0.12355784 -0.08621773 -0.34324887 -0.61366599  1.70654324
  1.00049156  0.58702648 -0.87749127 -0.45360738]"
Rash macular,0.03386504799548277,0.026508638670946924,"[ 0.18620368  1.2448488  -0.46737301  0.30300255 -0.10827859 -1.25514415
 -0.72830666 -0.39903324  0.16135285 -0.85380333 -0.6450564   2.47620716
 -0.28596199 -0.60778017 -0.06230457 -1.03521435 -0.82025472 -0.77800831
  0.20235671 -1.00912098 -0.49470891  0.82611241 -0.28596199  2.59424858
  1.89966803  0.12283408 -0.89107957  0.71055608]"
Faeces discoloured,0.03387383689107826,0.029667025816661058,"[-0.42180445  2.81979391 -0.73929168  0.47361714 -0.28512351 -0.79956044
 -0.54449443  0.26698139 -0.63274512  0.30464936 -0.51005514 -0.46700603
 -0.19364414 -0.53696084 -0.821085   -0.21086379 -0.21409247 -0.33463
 -0.30880053  0.11415703 -0.76296869  0.43702539 -0.91794551  3.26212357
  0.87612637  0.10985212 -1.1418009   1.1785464 ]"
Lymphadenopathy,0.033876811594202895,0.0251128934075998,"[ 0.53710029  0.70367352  0.0111486   0.17903343  2.13725255 -0.78236953
 -0.74302152 -1.09977678  0.35872266  1.34898082  0.78630433  1.2020816
 -1.17322639 -1.16011039 -0.96337036 -0.64071671 -0.20001903 -0.6013687
 -1.08534918  0.0242646  -0.78892753 -1.11289278 -0.37708506  2.18840496
  0.6013687   0.33511386 -1.12207398  1.43685804]"
