pt,mean_mae_rf,std_mae_rf,z_mae_rf
Colorectal cancer stage III,0.0015775726077058127,0.004006711071605967,"[-0.14354652 -0.16207882 -0.31033721 -0.39373256  5.16595714 -0.39373256
 -0.02308658 -0.10648193 -0.27327262  0.02324417 -0.06412238 -0.27724382
 -0.22385315 -0.12192551 -0.24635666 -0.20532085 -0.07338853 -0.1501652
 -0.31960336 -0.25782903 -0.2077477  -0.31430842 -0.15369516 -0.14751773
 -0.33019325 -0.13825158 -0.08728776 -0.06412238]"
Intercepted product preparation error,0.004782978398845805,0.009782650357591259,"[-0.37219572 -0.34884994 -0.41421812 -0.28970731 -0.2781456  -0.44223305
 -0.18120504  0.17943161 -0.02134206 -0.37686488  0.16208903 -0.31460947
 -0.3092733   0.03935695 -0.07181341 -0.10605388 -0.05676835  0.03046333
 -0.04780061 -0.1941008   5.11406157  0.03313141 -0.21900296 -0.34707122
 -0.12784327 -0.24568385 -0.45157136 -0.34217972]"
Colorectal cancer,0.004944528771476953,0.004051695866583444,"[-9.02061749e-02  2.83014924e+00 -1.64295136e-01  1.03420092e-02
 -8.55634546e-01 -7.77094148e-01 -5.90396975e-01 -5.63194439e-01
  8.78289499e-03  1.40604685e-01 -3.12773577e-01  4.11494352e-01
 -3.20796588e-03 -3.31685966e-01 -6.93581908e-01 -5.69177133e-01
  3.52130693e-01  2.84267629e-02 -5.42475270e-01  7.66074205e-01
 -3.28867561e-01  1.32059334e-01 -4.65426779e-01 -6.19036171e-01
 -5.91020454e-02  3.73429936e+00 -6.17526086e-01 -8.30681652e-01]"
Prostate cancer stage I,0.005876180923824849,0.008888471107426145,"[-0.21976341  0.15879897 -0.43347612 -0.41132235 -0.35347131 -0.51192997
 -0.10456561 -0.21198201 -0.2622499  -0.52741963  1.1611353  -0.32295378
  0.44506735 -0.0948757  -0.46735418 -0.39549049 -0.29697136  4.60273388
 -0.02627307 -0.49852742 -0.31595062 -0.20469673 -0.66110143  1.42515049
 -0.26275831 -0.50984036 -0.48922495 -0.21068729]"
Prostate cancer stage III,0.006033775645113691,0.010277166541110069,"[-0.14712091 -0.24577306 -0.11077539 -0.24983654  0.02422229 -0.47874564
 -0.28776231 -0.12717979 -0.39943262  0.09375287 -0.20288082 -0.51125344
  0.27028829 -0.28460183 -0.23584012 -0.30130722  0.01248336 -0.34103898
  0.02557678 -0.03989032 -0.27737787 -0.19836585 -0.38302822  0.05718159
  0.04544266  5.1017603  -0.37851325 -0.42998394]"
Colorectal cancer stage IV,0.0063372500788214745,0.013046549671575048,"[-0.3028193   4.76780842 -0.07621885 -0.16680872 -0.23658156 -0.41003191
 -0.37729934 -0.32045832 -0.33154076 -0.30876168 -0.30168215 -0.48574146
  1.76250425 -0.4518533  -0.33226224  0.01064552 -0.24271103 -0.09770364
 -0.14222091 -0.19531592 -0.4115965  -0.00549073 -0.35095854  0.03578768
 -0.28047477 -0.10346573 -0.28873129 -0.3560172 ]"
Colorectal cancer stage II,0.006819137286257571,0.011749852991440476,"[-1.10248153e-02 -1.35580025e-01 -4.30069511e-01 -2.41612253e-01
 -6.25051676e-04 -3.80785180e-01 -2.27937324e-01 -3.41703108e-01
 -2.43692660e-01 -2.69500702e-01 -3.33410082e-01 -4.64594441e-01
 -5.90385459e-02 -4.03762480e-01 -2.53440802e-01 -3.14606288e-01
 -2.29662462e-01 -1.37290872e-01 -1.27929411e-01 -3.07711150e-01
 -3.42803551e-01 -1.19240102e-01 -3.93145439e-01  4.28372185e+00
 -2.92074330e-01 -4.30821908e-01 -4.93826304e-01  2.70216695e+00]"
Hepatic cancer stage IV,0.007436421527894306,0.011049460073530602,"[-0.08326259  0.18437865 -0.40163513  0.01193642 -0.08293474 -0.56921804
 -0.47710071 -0.15101593 -0.28857755 -0.03262636 -0.45234657 -0.5202046
  0.31020109 -0.384767   -0.30766701 -0.20029126  0.21631469 -0.52303006
 -0.40369621 -0.1131043  -0.38012349 -0.20437349 -0.6203371   1.91703323
 -0.08271606  4.59078508 -0.45954258 -0.49207838]"
Renal cancer stage IV,0.00792779214312345,0.012769396366297444,"[-0.46471006 -0.23409715 -0.20305747 -0.41661226 -0.31757574 -0.28038714
 -0.34942203 -0.24781173 -0.41740926 -0.25558542  2.60122332  4.35631837
 -0.1455451  -0.4561484  -0.19708906 -0.09000553 -0.35576349  0.07756838
 -0.17978306 -0.39058887 -0.11558631 -0.2655624  -0.30940102 -0.24514249
 -0.21040339 -0.38383208 -0.34198575 -0.16160483]"
Post transplant lymphoproliferative disorder,0.008034599521334274,0.018486088044424916,"[-0.28250919 -0.39737556 -0.09668289 -0.28561368 -0.11752737 -0.03082322
 -0.30091442 -0.12174061 -0.27585669 -0.02483597 -0.41134579  5.15346428
 -0.32597214 -0.31931965 -0.03547996  0.08382141 -0.20755777 -0.15056808
 -0.06053768 -0.43462952 -0.10067439 -0.1827218  -0.01640948 -0.20755777
 -0.1831653  -0.21421026 -0.18626979 -0.2669867 ]"
