pt,mean_mae_rf,std_mae_rf,z_mae_rf
Altered visual depth perception,0.3617999247945634,0.2836269171612296,"[ 0.19831482  0.99063176 -0.04024788  0.52435497 -0.07770674 -1.27561914
 -0.57858499  0.12493176 -0.10270909 -0.20454769  2.76222468 -0.80264706
 -1.0691521  -1.14844606 -0.81696792 -0.64269573 -0.23547436  0.73996207
 -0.39423278  0.52802198 -1.13744524 -0.70433219 -0.77082962  2.06821513
  0.43060117  2.18748832 -0.39456329 -0.15854476]"
Hair texture abnormal,0.3653030139732052,0.25455685964579533,"[ 1.11912516 -0.35251075 -0.24075553  0.01175341  1.85268757 -0.78829108
  0.01420416 -0.13677839  0.06582726  0.52770308  1.20696381 -0.06995678
  0.5005185  -1.09163528 -0.70417563 -0.773585    0.48448697 -1.15906872
 -0.99577118 -0.14546827 -0.68765165 -0.58298758 -0.9530445   3.23524218
  0.04148238 -1.08614858 -0.64628729  1.35412172]"
Body fat disorder,0.3778062150366283,0.5138421413385357,"[-0.44960218  3.86540601 -0.42809083 -0.01470689 -0.58506496 -0.73525736
  0.07148527 -0.73525736 -0.73525736 -0.43752533 -0.59043517  0.52115044
 -0.13496373 -0.1478692  -0.48870253 -0.3310493  -0.34224281  1.19355694
 -0.02455002 -0.73525736 -0.73525736 -0.01992252 -0.27770597  2.59281785
 -0.06370728  0.03042283  0.01108924 -0.27350305]"
Oral fungal infection,0.3780259259297992,0.5689355974272955,"[-0.25136412  0.90012511 -0.5621641  -0.10402263  1.39478799 -0.66444414
  0.20836026 -0.48330534 -0.23921423  0.67794475  4.53669809 -0.07616617
 -0.44105119 -0.06771136 -0.66444414 -0.54368494 -0.32022608 -0.58383643
  0.1229426  -0.66444414 -0.66444414 -0.15252238 -0.18067937  0.20351393
 -0.66444414 -0.19092189 -0.12007514 -0.40520664]"
Abdominal pain,0.3827658440652441,0.2923286519779675,"[ 0.43976827  1.97367933 -1.03790592  1.0237194  -1.09148905 -1.24069629
 -0.28191056  2.21079226  1.49449488 -0.25377991 -0.96503947 -0.09453929
 -1.27952766 -0.59577329  1.56656126  0.54934735  0.10916038 -0.88424292
 -0.52573812 -0.53836908  0.28542372 -0.27825441 -0.1496913  -0.80119976
 -0.02779806 -0.9611389   1.69621988 -0.34207274]"
Red blood cell count abnormal,0.3839250237517896,0.41057233020755013,"[-5.05983529e-01  3.77941250e-01 -9.35097169e-01 -6.42115867e-01
 -7.30664937e-01 -4.30645534e-01  2.57009155e-01 -5.27725570e-01
 -7.67393925e-01 -1.43098611e-01  1.28564351e+00  1.40403607e+00
  3.65763865e-01 -5.82868310e-02 -1.01315452e-01 -8.20523367e-01
 -5.86446310e-01  1.59693882e+00 -2.25604917e-01 -6.69449958e-01
 -6.11317226e-01 -5.22768156e-01 -6.75176296e-01  3.55342588e+00
 -3.83583337e-01 -8.90456444e-04 -9.35097169e-01  1.43242607e+00]"
Urinary incontinence,0.3845483522897015,0.25560982084954104,"[-7.71084200e-03  3.33046454e+00  6.34160649e-04  2.36162390e-01
 -1.25895890e+00 -3.46055349e-01 -2.25564967e-01  5.11365129e-01
 -2.43523863e-01 -9.66093108e-01  1.20408477e+00 -4.40069201e-01
  8.97727328e-01 -5.27706612e-01 -5.59195197e-01 -3.69696002e-01
  3.96041984e-02 -1.47740749e+00  5.57584830e-02 -1.45740330e+00
 -1.09943113e+00  7.42019225e-02 -4.45496085e-01  1.91299434e+00
  1.05574026e+00 -2.66188231e-01  6.98364775e-02  3.01926286e-01]"
Screaming,0.3852914811523515,0.2840068562861646,"[ 0.57462779 -0.39299361 -0.388655   -0.14681418 -0.20113679 -0.83262621
 -0.4291029  -0.55298518 -0.40172709  0.25668013  1.84198078  0.88116831
 -1.15903156 -0.83858093 -0.52386786 -0.51343128 -0.18154419  3.26538019
 -0.31977119 -0.31222086 -1.04606601 -0.51413696 -0.4313589   1.09384052
 -0.14943734 -0.10455262 -0.70364526  2.23000819]"
Jaw disorder,0.38598653575624525,0.30688806280776154,"[ 0.13182984 -0.93840136 -0.44765718 -0.36157465  1.24563025 -1.12853558
  0.90396805 -0.68454906 -0.3607613   0.50140819  1.48418154  0.0163918
  1.5428784  -0.73736493 -0.40723805 -1.0639315  -0.20836254  0.9231308
  0.00673177 -0.6039105  -0.85634826 -0.50861982 -0.73242799  3.22258425
 -0.55773704 -0.59564489 -0.89049344  1.1048232 ]"
Fournier's gangrene,0.3887174279995368,0.3174668947646416,"[ 0.60191729  0.43104111 -0.23580819  0.34230379  1.92774894 -0.44364717
 -0.16637551 -0.09240876 -0.19703185 -0.94730027  1.27228738  3.68233318
 -0.6632189  -1.19168702 -0.64795716 -0.57200152  0.39875102 -0.80049393
 -0.29308082 -0.07884302 -1.17076812 -1.15166228 -0.70776966  0.26181531
  0.17928544  0.52187285 -0.3661158   0.10681366]"
