pt,mean_mae_xgboost,std_mae_xgboost,z_mae_xgboost
Respiration abnormal,0.030147880217659153,0.03272325672386005,"[ 1.09581988 -0.17780419 -0.78909845 -0.17125448 -0.25978405 -0.72427796
 -0.06111492 -0.89353491 -0.36085835 -0.81460592  2.08541154 -0.85867631
 -0.55712201 -0.35505467 -0.78063375 -0.5629255   1.23848885  1.07113738
  0.7944765  -0.55781601 -0.40606345  0.54123833 -0.72865268  3.39044146
 -0.62046151  0.54293026 -0.77248153 -0.30772355]"
Injection site necrosis,0.030370727850425303,0.027675286001309928,"[-0.72213406  0.63183421 -1.07881097 -0.19172551 -0.57969833 -0.59264616
 -0.5506234  -0.18752577 -0.01139162  1.26575049  2.26504525  0.36356523
  1.02635562 -0.96005481 -0.91200362 -1.0127418  -0.42068278  1.02285287
  0.25831654 -0.49405369  0.85926978  0.66915104 -0.88845205 -0.39943237
 -0.0459067   2.85253921 -1.09056076 -1.07623583]"
Essential hypertension,0.030523207679271715,0.02488969985832811,"[ 0.40140252 -0.56134789 -1.0172195  -0.2743667   0.59822241 -0.65205429
 -0.63891402  0.54803076 -0.44724164 -0.92754281 -1.04514213  1.38486713
 -0.6594514  -0.52466088 -0.71361332  0.12857463  1.87779628 -0.73450856
 -0.19707077 -0.91738941  1.07256901 -0.10949789 -0.28997561  3.23214365
  0.46095401  1.13535438 -1.21169619  0.08177824]"
Hepatitis C,0.03095457655765309,0.02619619928866035,"[-0.00996686 -0.64757161 -0.81548551  0.63964709 -1.07914261 -0.98918925
  0.03185047 -0.22533311 -0.37507112  1.26853415  2.13651579  2.85456701
 -0.17444983 -0.85980981 -0.96555333 -0.71754451  0.77647581  0.52473386
  0.48561527 -1.11716527 -1.09587577 -0.14616795 -0.26290484  0.20106666
 -0.51173708  1.19977767 -1.11844589  0.99263057]"
Impaired gastric emptying,0.031383108485432736,0.022856378654170843,"[-0.37461342 -0.00412331 -1.26108657  0.11150308 -0.40736361 -1.31293387
  0.71019178 -0.32942375  0.11160038  1.3846687   2.46187208  2.16438354
 -0.92191273 -0.03039301 -1.12487341 -0.41180059  0.26599574 -0.80533489
 -0.06532393 -1.19214818 -0.92963217 -0.04337164  0.29054126  0.91966204
 -0.00956049  1.99272085 -0.88964167 -0.29960222]"
Herpes zoster disseminated,0.03142849394685722,0.032816328777150315,"[-0.67415271  1.65181163 -0.59826666 -0.36396578 -0.33387077 -0.90263904
 -0.90250841  0.17417668 -0.49283111 -0.65726019  2.62499142  2.02429055
  0.18983491 -0.93848954 -0.85978917 -0.57245422  0.40618538  1.82678309
 -0.39463248 -0.38611296 -0.84828927 -0.29494751 -0.74670507  0.39478031
  0.7874695  -0.67726408 -0.80063834  1.36449384]"
Exposure via skin contact,0.03205135595874893,0.03261134836229586,"[-0.54014654  0.29737313 -0.49737958 -0.67091265  0.54682381 -0.70613218
  0.15743752  0.17290648  0.572193    1.7232761   4.129705   -0.23176958
  0.13235171 -0.75790919 -0.95527169 -0.39603766  0.08303531 -0.54587621
 -0.21311725 -0.89596634 -0.79103139  0.62640236 -0.28780126 -0.8570396
  0.08622653 -0.73448111 -0.12028704  0.67342832]"
Diplegia,0.032169744814943016,0.036439687865813426,"[ 0.3909701   0.13501632 -0.33924391  0.09048248 -0.29276146 -0.81065884
 -0.3228985  -0.87030173 -0.04838463  0.14239021  4.00455508 -0.40887029
  0.61155811 -0.67828844 -0.83217328 -0.56331062  0.55536742 -0.54586754
  0.52193041 -0.83416867 -0.45765544  1.21048435 -0.76077638  1.75467108
 -0.26414437 -0.8102509  -0.62850874  0.05083817]"
Blood test abnormal,0.032209208027986144,0.02430246770315241,"[ 1.37029344 -0.1043324  -0.2239729   1.47856667 -0.41303433 -0.4557311
 -0.10964791 -0.1011381   0.1108179  -1.27907898  1.09106513  2.08105107
 -1.22171047 -0.66402688 -0.77579784 -0.69061367  0.22191547 -0.0230406
 -0.47388407 -1.23939544 -0.1798782  -0.49414406 -0.69949739  1.73964949
  0.67407182  2.31586158 -0.9952528  -0.93911545]"
Blindness transient,0.032294304239708034,0.027332397288769367,"[ 9.65206848e-01 -1.11592828e+00 -1.10920076e+00 -1.03758538e-01
  7.63515572e-01 -7.93300011e-01  2.83132765e-01 -5.46691528e-01
  2.40512667e-01  1.23758888e+00  1.38144347e-01  3.72766834e-02
 -2.94607667e-03 -8.38125767e-01 -1.09344762e+00 -5.11909528e-01
  1.57291455e+00 -5.26916139e-01 -1.97266367e-01 -6.40483161e-01
  7.41826588e-01  5.37554454e-01 -8.85361044e-01  3.25167279e+00
 -6.02630858e-01  1.19878404e+00 -1.10652754e+00 -8.93636956e-01]"
