pt,mean_mae_xgboost,std_mae_xgboost,z_mae_xgboost
Prostate cancer stage III,0.003925629005079087,0.011763586277614868,"[-0.33286005 -0.32231577 -0.33340254 -0.33023644 -0.33286005  0.71711716
 -0.33340254 -0.33340254 -0.33340254 -0.27003584 -0.33301115 -0.33340254
  0.16841531 -0.08459017 -0.33215814 -0.33242137 -0.3170181  -0.33340254
 -0.33215814 -0.28521234 -0.33340254 -0.3014657   1.89487155 -0.3310681
 -0.17869287  4.63632311 -0.33340254 -0.33340254]"
Intercepted product preparation error,0.004665839006519776,0.011035992131564266,"[-0.42235044 -0.42235044  0.26712327 -0.42235044 -0.42235044 -0.42235044
 -0.42235044  0.61756474  0.30854542 -0.42235044 -0.32308554 -0.42235044
 -0.42235044 -0.42235044 -0.42235044  0.98784648  0.84075935 -0.42235044
 -0.42235044 -0.42235044  4.54387925 -0.42235044  1.20437576 -0.42235044
 -0.42235044 -0.42235044 -0.42235044 -0.42235044]"
Post transplant lymphoproliferative disorder,0.0061284069186325,0.020238553313381324,"[-0.30197475 -0.30197475 -0.30197475 -0.30197475  0.0327402  -0.30197475
 -0.30197475 -0.30175061 -0.30197475  0.03630012 -0.16869624  4.80140974
 -0.30207601 -0.30197475  1.73864111 -0.28700505 -0.30197475 -0.08418954
 -0.30197475 -0.30197475 -0.27497797 -0.28412075 -0.30197475 -0.07457776
 -0.30197475 -0.30197475 -0.30207601 -0.30197475]"
Prostate cancer stage I,0.006307682945589063,0.009103112209696368,"[-0.47420851 -0.38371385 -0.69010427 -0.66664367 -0.49448594 -0.69276133
 -0.41323935  0.23345881 -0.67733541 -0.59785604 -0.13390231 -0.69010427
  0.68248621  1.1212383   0.88859621 -0.4326059  -0.24081574  3.81919975
  0.65929531 -0.57951551 -0.43798986 -0.52661347 -0.69276133  1.84186744
 -0.45512231 -0.65389356  1.09210503 -0.40457441]"
Renal cancer stage IV,0.007180244920698332,0.014066612306079635,"[-0.2446036  -0.01981959 -0.50814152 -0.5081959  -0.02228931 -0.50948251
 -0.46344223 -0.45168603 -0.50180701 -0.18356752  2.3137038   4.04835015
 -0.34990645 -0.50966395  1.26900112 -0.48409209 -0.48230319  0.65819968
  0.24349461 -0.20784636 -0.33764254 -0.49432218 -0.50863082  0.28018717
 -0.49735008 -0.50947428 -0.50939155 -0.50927781]"
Colorectal cancer stage II,0.0072982010612365825,0.013125929218428915,"[-0.39911967 -0.54918724 -0.55528317 -0.13231906  1.395071   -0.55550777
  1.22316862 -0.5549787  -0.50546603 -0.55303534 -0.49552211 -0.25348332
  0.89797323  0.49258122 -0.48163935 -0.55535782 -0.30272313 -0.42678146
 -0.55317031 -0.48380907 -0.43067844 -0.51917521 -0.531926    3.65338124
 -0.13969082 -0.42718516 -0.55499014  2.29885401]"
Bladder cancer stage III,0.010106828562154613,0.02465839991696515,"[-0.40947629 -0.40743324 -0.4095712  -0.38310396 -0.4095712  -0.28154114
 -0.4095712  -0.4095712  -0.4095712  -0.40938098 -0.28894269 -0.40784361
  4.50734479 -0.4095712  -0.40717994 -0.40743324 -0.36470104  1.47678879
 -0.28894269  1.04436224 -0.40742343 -0.40938098 -0.4095712   0.67260679
 -0.40946207 -0.02720165 -0.33032003  0.80566275]"
Nocardiosis,0.0114325479770455,0.026551563789141197,"[ 0.07792301 -0.42746006 -0.43011395  0.4799931  -0.09204155 -0.43011395
 -0.05469845 -0.38758318 -0.43010125 -0.33246131 -0.35859427 -0.41342807
  1.45208858  1.05570091 -0.43041359 -0.42982913 -0.23447029 -0.17052082
 -0.43041359 -0.39657341 -0.43050869 -0.43022173 -0.43011395  4.64519528
 -0.13770698 -0.29072302 -0.43011448 -0.11269518]"
Fulminant type 1 diabetes mellitus,0.01157353569654965,0.035388602869119205,"[-0.3262081  -0.3262081  -0.3262081  -0.3262081   0.00827588 -0.3262081
  0.35815503 -0.32598412 -0.3262081   0.0118337  -0.19302142  4.77365854
 -0.3263093  -0.3262081   1.7130006  -0.31124875 -0.3262081  -0.1085731
 -0.3262081  -0.3262081  -0.29922995 -0.30836644 -0.3262081  -0.09896793
 -0.3262081  -0.3262081  -0.3263093  -0.3262081 ]"
Prostate cancer stage IV,0.012237519174647866,0.014542239507412288,"[-0.03564131 -0.82372326 -0.46765457 -0.68084827  1.72853017 -0.83639556
 -0.5277683   0.7215255  -0.62982938 -0.3237189   0.63519764 -0.83940165
  0.7543349   1.15290839  0.87514867 -0.70997136 -0.5432286   3.42627361
 -0.34747777 -0.80505713 -0.81327109 -0.84029668 -0.59654557  0.88161231
 -0.5729174  -0.28474018  1.12726715 -0.62431135]"
