pt,mean_mae_xgboost,std_mae_xgboost,z_mae_xgboost
Obesity surgery,0.28113655157019307,0.3395297515749824,"[ 1.02662933 -0.75266346 -0.71958659 -0.43128712  1.13195248 -0.74264693
  0.04383197 -0.75462747 -0.61433173 -0.38506535  1.02705819 -0.46886389
  4.06284525 -0.78187887 -0.60464292 -0.41433898 -0.60916712 -0.7729494
 -0.40049708 -0.57986753  0.86845457  0.34937723 -0.12585553  1.15313112
  0.02908748 -0.32586001 -0.1109903  -0.09724732]"
Post procedural diarrhoea,0.28189394315017335,0.27912935221379254,"[ 0.24073782 -0.14809301 -0.58106188 -0.70314539 -0.1800847  -0.50132273
 -0.96358552  2.59322818 -0.91105847 -0.31825359  0.08214621  1.38840995
  2.09171885 -0.70520681 -0.40028346 -0.38367055 -1.00990434 -0.68111895
  0.34271169 -1.00118354  0.29062621 -0.30552813 -0.7413206   1.15772667
  0.42241923 -0.97947409 -0.36725136  2.27182232]"
Multiple sclerosis pseudo relapse,0.2903752684287209,0.32723404266993783,"[-1.12541716e-01 -5.65402392e-01 -2.65641913e-01 -7.35252903e-01
  1.79353546e+00 -5.36145740e-01 -8.36576405e-01 -5.93983507e-01
 -2.95412948e-01 -2.64556910e-01 -2.75024930e-01  1.08825919e+00
  8.48224024e-01  1.66254595e-01 -8.42718060e-01 -7.92732501e-01
 -3.91061939e-01  1.01000802e+00 -3.55391168e-01  2.50832593e-03
  4.32087251e-01 -8.28041750e-01 -7.80773286e-01 -3.64771110e-01
 -4.89105341e-01  3.84201717e+00 -6.60950929e-01  8.03191411e-01]"
Anal fissure,0.2964279458195615,0.4302118455516573,"[-0.44684826 -0.12622155 -0.66136543 -0.51820265  0.01525531 -0.62515002
 -0.56105724 -0.61159886 -0.62304763 -0.04373847  1.12056332 -0.14084747
  0.79115505 -0.42019223 -0.63206731 -0.21620753 -0.64575635 -0.40091716
 -0.19847515  0.40915779  0.56541164 -0.41723348 -0.56981872  0.32666836
  4.51306577  0.82570804 -0.54667181 -0.16156796]"
Weight fluctuation,0.296724588251541,0.2903922187362885,"[-0.92900549  0.74207996 -0.23988193 -0.68479932  1.71501542  0.06839436
 -1.01117251 -0.79045749 -0.64486801  2.70376665  1.34172831 -0.62606591
 -0.75487257 -0.80844182 -0.52858268 -0.92555701 -0.47530067 -0.07381301
 -0.88844189  0.51590029  0.13851676 -0.56868414 -0.72913382  0.86750854
 -0.69373858  0.62076772  0.36187023  2.29726857]"
Sternal fracture,0.30957600362682874,0.3914994014528761,"[-0.27586708 -0.69018792 -0.5637979  -0.4843552   0.7602747   0.21383812
 -0.65235735 -0.29589366 -0.20877483 -0.48717815  1.60057659 -0.31404338
  0.05071206 -0.47413238 -0.68878919 -0.57028827 -0.58439098  4.35217289
 -0.54424707 -0.0856772  -0.11699496 -0.2275139  -0.08705466  0.67935606
 -0.35316285  1.02517    -0.40093411 -0.57645938]"
Fatigue,0.32074676001712726,0.2730965771980356,"[-0.78273516 -0.67659288 -0.7459335  -1.03702092  0.56495606  0.22510147
  1.57688936 -0.97258166 -1.06998837  1.20359555 -1.01343065 -0.70607763
 -1.15427679  1.50753166 -1.17448107 -0.00679806 -0.49041346  0.2313124
  1.42940342 -0.7016915  -0.46303774  1.23339361 -0.94469516  1.32599849
 -0.42885429  1.42141292 -0.07324008  1.72225398]"
Bronchoscopy,0.32200344051117724,0.3238122589525806,"[-0.40364457  2.68473684 -0.67490456 -0.06324402  1.01133899  1.19354017
 -0.83243518 -0.79313532 -0.85574602 -0.24552264 -0.11198911 -0.13347206
  2.67725325 -0.39001641 -0.49247274 -0.69191215  0.77061815  1.98784857
 -0.23004948 -0.52045536 -0.58688975 -0.55162227 -0.58875913  0.25984253
 -0.81136643 -0.68172809 -0.62522006 -0.30059314]"
Intestinal fistula,0.3309600445233783,0.538875815026933,"[-0.01585248  1.66485293 -0.60417205 -0.14746116  1.37247639 -0.44738284
 -0.54969536 -0.31316426 -0.3658512  -0.17847602  0.21587233 -0.40925906
  0.30848136 -0.57815128 -0.43020003  0.08736176 -0.12306231 -0.53051797
 -0.56975498 -0.6017264  -0.57641757 -0.59225526 -0.52774076 -0.11424195
 -0.18909074  4.37207517 -0.42060005  0.26395378]"
Corynebacterium infection,0.33184701249365134,0.45560186986024387,"[ 0.30563334  1.75298468 -0.53428859 -0.51842876  0.78475878 -0.72809752
 -0.27853024 -0.39416693 -0.22288114 -0.72837061  2.52463311 -0.20368034
  1.01109275 -0.61384881 -0.51332694 -0.50059511 -0.20792228 -0.4821028
 -0.36887402 -0.61088027 -0.19997515 -0.6901059  -0.11412025  3.41865328
 -0.38601565 -0.57693794 -0.66372698 -0.26087967]"
Blood blister,0.3340695035505338,0.39495204428130687,"[-0.41045369  0.82624242 -0.66886902 -0.83121891  1.54904181 -0.29016687
 -0.82531224 -0.48470089 -0.73777246 -0.32515421 -0.33778121  0.7209187
  0.51233448 -0.56753454 -0.47322379 -0.39982938 -0.48948003  4.20074115
 -0.75355088  0.46642834 -0.78110507  0.23746745 -0.07408349 -0.50454187
  0.69029409  0.336265   -0.28727943 -0.29767548]"
Anorectal disorder,0.3343284170963501,0.33842904456566675,"[ 1.03519062  1.57511942 -0.1103288  -0.79669456  1.11496865 -0.6349345
 -0.74189065 -0.46331044 -0.73588834 -0.82800932 -0.70705451  0.04187242
 -0.82663782 -0.88913761 -0.76580731 -0.41470024 -0.20150842  0.8637571
 -0.69737798  1.97180911 -0.69075119 -0.22860736  0.21217088  2.85668393
 -0.87849242  0.8954976  -0.96722216  1.01128388]"
Gingival pain,0.33614355146779173,0.38148653398586685,"[-0.62873345  1.54568189 -0.42188559 -0.81191816  1.77696145 -0.62663744
 -0.87656391 -0.46777454 -0.27500968  0.61632949  0.28120554  0.67971134
 -0.64858989 -0.64483514 -0.88114133  0.09445616  0.69968261  2.2413487
 -0.6259729  -0.29457842 -0.2990429  -0.78811772 -0.48821973  2.98859374
 -0.78107171 -0.35554303 -0.73356934 -0.27476602]"
