feature,importance,pt
0,0.042103454,5-hydroxyindolacetic acid in urine increased
1,0.050512634,5-hydroxyindolacetic acid in urine increased
2,0.014846673,5-hydroxyindolacetic acid in urine increased
3,0.14196424,5-hydroxyindolacetic acid in urine increased
4,0.0421647,5-hydroxyindolacetic acid in urine increased
5,0.0,5-hydroxyindolacetic acid in urine increased
6,0.041472685,5-hydroxyindolacetic acid in urine increased
7,0.11382345,5-hydroxyindolacetic acid in urine increased
8,0.2498865,5-hydroxyindolacetic acid in urine increased
9,1.2577186e-06,5-hydroxyindolacetic acid in urine increased
10,0.0274312,5-hydroxyindolacetic acid in urine increased
11,0.0,5-hydroxyindolacetic acid in urine increased
12,0.09337638,5-hydroxyindolacetic acid in urine increased
13,0.0,5-hydroxyindolacetic acid in urine increased
14,1.4458205e-06,5-hydroxyindolacetic acid in urine increased
15,0.0,5-hydroxyindolacetic acid in urine increased
16,1.4689847e-06,5-hydroxyindolacetic acid in urine increased
17,0.0,5-hydroxyindolacetic acid in urine increased
18,0.101323985,5-hydroxyindolacetic acid in urine increased
19,0.061432514,5-hydroxyindolacetic acid in urine increased
20,0.0,5-hydroxyindolacetic acid in urine increased
21,0.0,5-hydroxyindolacetic acid in urine increased
22,0.019655937,5-hydroxyindolacetic acid in urine increased
23,0.0,5-hydroxyindolacetic acid in urine increased
24,1.5093894e-06,5-hydroxyindolacetic acid in urine increased
25,0.0,5-hydroxyindolacetic acid in urine increased
0,0.07671758,Abdominal fat apron
1,0.02948511,Abdominal fat apron
2,0.17141274,Abdominal fat apron
3,0.047498826,Abdominal fat apron
4,0.0,Abdominal fat apron
5,0.06391166,Abdominal fat apron
6,0.0018515153,Abdominal fat apron
7,0.0,Abdominal fat apron
8,0.019877508,Abdominal fat apron
9,1.2163687e-06,Abdominal fat apron
10,0.0,Abdominal fat apron
11,0.0,Abdominal fat apron
12,0.019489469,Abdominal fat apron
13,0.0,Abdominal fat apron
14,0.0,Abdominal fat apron
15,0.0,Abdominal fat apron
16,0.0,Abdominal fat apron
17,0.0,Abdominal fat apron
18,0.105254844,Abdominal fat apron
19,0.05136314,Abdominal fat apron
20,0.1832381,Abdominal fat apron
21,0.0,Abdominal fat apron
22,0.0,Abdominal fat apron
23,0.0,Abdominal fat apron
24,0.0,Abdominal fat apron
25,0.22989836,Abdominal fat apron
0,0.018205052,Abdominal neoplasm
1,0.06069801,Abdominal neoplasm
2,0.0073895985,Abdominal neoplasm
3,0.0075520766,Abdominal neoplasm
4,0.038642783,Abdominal neoplasm
5,0.04611006,Abdominal neoplasm
6,0.025897246,Abdominal neoplasm
7,0.027573664,Abdominal neoplasm
8,0.0133824125,Abdominal neoplasm
9,0.039770167,Abdominal neoplasm
10,0.0014961249,Abdominal neoplasm
11,0.02336515,Abdominal neoplasm
12,0.01807002,Abdominal neoplasm
13,0.0019919365,Abdominal neoplasm
14,0.00023936901,Abdominal neoplasm
15,0.0025441607,Abdominal neoplasm
16,0.014266526,Abdominal neoplasm
17,0.016490173,Abdominal neoplasm
18,0.004534861,Abdominal neoplasm
19,0.0018600265,Abdominal neoplasm
20,0.009788669,Abdominal neoplasm
21,0.053226996,Abdominal neoplasm
22,0.27967075,Abdominal neoplasm
23,0.18049528,Abdominal neoplasm
24,0.048531137,Abdominal neoplasm
25,0.05820777,Abdominal neoplasm
0,0.048668753,5q minus syndrome
1,0.025598126,5q minus syndrome
2,0.04616525,5q minus syndrome
3,0.00876415,5q minus syndrome
4,0.035850953,5q minus syndrome
5,0.011133295,5q minus syndrome
6,0.03251917,5q minus syndrome
7,0.0965818,5q minus syndrome
8,0.014683256,5q minus syndrome
9,0.1392355,5q minus syndrome
10,0.040255018,5q minus syndrome
11,0.20303689,5q minus syndrome
12,0.01291913,5q minus syndrome
13,0.010918179,5q minus syndrome
14,0.022199426,5q minus syndrome
15,5.7903267e-06,5q minus syndrome
16,0.008444255,5q minus syndrome
17,0.0,5q minus syndrome
18,0.010319363,5q minus syndrome
19,0.0048218933,5q minus syndrome
20,0.015813,5q minus syndrome
21,0.15803413,5q minus syndrome
22,0.012774098,5q minus syndrome
23,0.0,5q minus syndrome
24,0.008272583,5q minus syndrome
25,0.03298597,5q minus syndrome
0,0.00899874,Abdominal lymphadenopathy
1,0.029660521,Abdominal lymphadenopathy
2,0.025570799,Abdominal lymphadenopathy
3,0.0143054435,Abdominal lymphadenopathy
4,0.02089977,Abdominal lymphadenopathy
5,0.0066172625,Abdominal lymphadenopathy
6,0.008496275,Abdominal lymphadenopathy
7,0.012675374,Abdominal lymphadenopathy
8,0.014740789,Abdominal lymphadenopathy
9,0.011034293,Abdominal lymphadenopathy
10,0.0348474,Abdominal lymphadenopathy
11,0.068437256,Abdominal lymphadenopathy
12,0.012538579,Abdominal lymphadenopathy
13,0.011152948,Abdominal lymphadenopathy
14,0.00047708052,Abdominal lymphadenopathy
15,0.038563,Abdominal lymphadenopathy
16,0.0058030942,Abdominal lymphadenopathy
17,0.035685584,Abdominal lymphadenopathy
18,0.008468391,Abdominal lymphadenopathy
19,0.16495082,Abdominal lymphadenopathy
20,0.023259604,Abdominal lymphadenopathy
21,0.19031614,Abdominal lymphadenopathy
22,0.013382848,Abdominal lymphadenopathy
23,0.15185042,Abdominal lymphadenopathy
24,0.00014451168,Abdominal lymphadenopathy
25,0.087123,Abdominal lymphadenopathy
0,0.007911719,Abdominal adhesions
1,0.018648354,Abdominal adhesions
2,0.016556868,Abdominal adhesions
3,0.03189575,Abdominal adhesions
4,0.020478629,Abdominal adhesions
5,0.05901929,Abdominal adhesions
6,0.022527544,Abdominal adhesions
7,0.02936006,Abdominal adhesions
8,0.016755946,Abdominal adhesions
9,0.112363346,Abdominal adhesions
10,0.0039641196,Abdominal adhesions
11,0.027863702,Abdominal adhesions
12,0.08474184,Abdominal adhesions
13,0.0067091067,Abdominal adhesions
14,0.0011118856,Abdominal adhesions
15,0.020507313,Abdominal adhesions
16,0.07528941,Abdominal adhesions
17,0.009691845,Abdominal adhesions
18,0.020214964,Abdominal adhesions
19,0.013509761,Abdominal adhesions
20,0.08552594,Abdominal adhesions
21,0.06785367,Abdominal adhesions
22,0.15194492,Abdominal adhesions
23,0.037710626,Abdominal adhesions
24,0.010440618,Abdominal adhesions
25,0.047402844,Abdominal adhesions
0,0.01205818,Abdominal injury
1,0.018808898,Abdominal injury
2,0.011624456,Abdominal injury
3,0.079351604,Abdominal injury
4,0.044620894,Abdominal injury
5,0.010595983,Abdominal injury
6,0.042738304,Abdominal injury
7,0.015430802,Abdominal injury
8,0.029679202,Abdominal injury
9,0.027024489,Abdominal injury
10,0.065710865,Abdominal injury
11,0.15536478,Abdominal injury
12,0.032179266,Abdominal injury
13,0.011604023,Abdominal injury
14,0.001801737,Abdominal injury
15,0.12936969,Abdominal injury
16,0.03863196,Abdominal injury
17,0.0676152,Abdominal injury
18,0.013633503,Abdominal injury
19,0.0076025063,Abdominal injury
20,0.0126704015,Abdominal injury
21,0.05265648,Abdominal injury
22,0.07135042,Abdominal injury
23,0.04292639,Abdominal injury
24,0.00392934,Abdominal injury
25,0.0010205838,Abdominal injury
0,0.016806297,Abdominal mass
1,0.0104789315,Abdominal mass
2,0.010653844,Abdominal mass
3,0.05200423,Abdominal mass
4,0.016825812,Abdominal mass
5,0.028667131,Abdominal mass
6,0.014956091,Abdominal mass
7,0.04606352,Abdominal mass
8,0.016560143,Abdominal mass
9,0.0019266449,Abdominal mass
10,0.031025868,Abdominal mass
11,0.017639842,Abdominal mass
12,0.043274492,Abdominal mass
13,0.020778514,Abdominal mass
14,0.0013014908,Abdominal mass
15,0.047781996,Abdominal mass
16,0.031914007,Abdominal mass
17,0.07817099,Abdominal mass
18,0.0196327,Abdominal mass
19,0.019924581,Abdominal mass
20,0.0702458,Abdominal mass
21,0.02306113,Abdominal mass
22,0.2586524,Abdominal mass
23,0.0018707064,Abdominal mass
24,0.07562042,Abdominal mass
25,0.044162426,Abdominal mass
0,0.037039865,Abdominal operation
1,0.011194757,Abdominal operation
2,0.007323252,Abdominal operation
3,0.062121864,Abdominal operation
4,0.020185744,Abdominal operation
5,0.019977717,Abdominal operation
6,0.005281341,Abdominal operation
7,0.047990106,Abdominal operation
8,0.047447305,Abdominal operation
9,0.015968597,Abdominal operation
10,0.031824727,Abdominal operation
11,0.018789532,Abdominal operation
12,0.0651881,Abdominal operation
13,0.0017557392,Abdominal operation
14,1.770627e-05,Abdominal operation
15,0.01357067,Abdominal operation
16,0.022538992,Abdominal operation
17,0.06423731,Abdominal operation
18,0.0060229967,Abdominal operation
19,0.08139348,Abdominal operation
20,0.022011876,Abdominal operation
21,0.03956944,Abdominal operation
22,0.21344216,Abdominal operation
23,0.12802592,Abdominal operation
24,0.0029925136,Abdominal operation
25,0.01408829,Abdominal operation
0,0.0588974,Abdominal infection
1,0.014247557,Abdominal infection
2,0.014857411,Abdominal infection
3,0.008014092,Abdominal infection
4,0.013434089,Abdominal infection
5,0.026272496,Abdominal infection
6,0.02360172,Abdominal infection
7,0.030850213,Abdominal infection
8,0.019771831,Abdominal infection
9,0.01613835,Abdominal infection
10,0.037565924,Abdominal infection
11,0.04517672,Abdominal infection
12,0.08627102,Abdominal infection
13,0.00687258,Abdominal infection
14,0.010552311,Abdominal infection
15,0.046084337,Abdominal infection
16,0.047013875,Abdominal infection
17,0.10714188,Abdominal infection
18,0.020699345,Abdominal infection
19,0.049284376,Abdominal infection
20,0.07903798,Abdominal infection
21,0.013038065,Abdominal infection
22,0.07256318,Abdominal infection
23,0.039755277,Abdominal infection
24,0.006742304,Abdominal infection
25,0.106115654,Abdominal infection
0,0.0075898133,Abdominal pain
1,0.0166726,Abdominal pain
2,0.01056539,Abdominal pain
3,0.015656842,Abdominal pain
4,0.019895928,Abdominal pain
5,0.020896085,Abdominal pain
6,0.021276422,Abdominal pain
7,0.015835304,Abdominal pain
8,0.023795143,Abdominal pain
9,0.051859476,Abdominal pain
10,0.034559626,Abdominal pain
11,0.011932702,Abdominal pain
12,0.0375161,Abdominal pain
13,0.021120412,Abdominal pain
14,0.0169804,Abdominal pain
15,0.017970145,Abdominal pain
16,0.08318541,Abdominal pain
17,0.03940309,Abdominal pain
18,0.08327594,Abdominal pain
19,0.025994768,Abdominal pain
20,0.07740271,Abdominal pain
21,0.12028314,Abdominal pain
22,0.032971043,Abdominal pain
23,0.12533528,Abdominal pain
24,0.025140557,Abdominal pain
25,0.04288576,Abdominal pain
0,0.0031396025,Abdominal distension
1,0.0071353866,Abdominal distension
2,0.031009724,Abdominal distension
3,0.014172476,Abdominal distension
4,0.019111846,Abdominal distension
5,0.026330782,Abdominal distension
6,0.0305531,Abdominal distension
7,0.15313317,Abdominal distension
8,0.007124685,Abdominal distension
9,0.013257854,Abdominal distension
10,0.010486992,Abdominal distension
11,0.0172261,Abdominal distension
12,0.055350643,Abdominal distension
13,0.0053054085,Abdominal distension
14,0.0534601,Abdominal distension
15,0.08510256,Abdominal distension
16,0.017288964,Abdominal distension
17,0.055497654,Abdominal distension
18,0.010896297,Abdominal distension
19,0.012678381,Abdominal distension
20,0.029292097,Abdominal distension
21,0.11388292,Abdominal distension
22,0.10066788,Abdominal distension
23,0.059684787,Abdominal distension
24,0.03232917,Abdominal distension
25,0.03588147,Abdominal distension
0,0.107261024,Abdominal wall mass
1,0.101004414,Abdominal wall mass
2,0.042090718,Abdominal wall mass
3,0.15418264,Abdominal wall mass
4,1.8648276e-06,Abdominal wall mass
5,0.021648169,Abdominal wall mass
6,0.026506048,Abdominal wall mass
7,0.15436764,Abdominal wall mass
8,0.0,Abdominal wall mass
9,0.0,Abdominal wall mass
10,4.875037e-06,Abdominal wall mass
11,0.013443659,Abdominal wall mass
12,0.034957226,Abdominal wall mass
13,2.7800454e-06,Abdominal wall mass
14,0.0066491063,Abdominal wall mass
15,0.0,Abdominal wall mass
16,0.27035674,Abdominal wall mass
17,6.5822786e-07,Abdominal wall mass
18,0.0,Abdominal wall mass
19,0.0,Abdominal wall mass
20,0.06752213,Abdominal wall mass
21,0.0,Abdominal wall mass
22,3.1018854e-07,Abdominal wall mass
23,0.0,Abdominal wall mass
24,0.0,Abdominal wall mass
25,0.0,Abdominal wall mass
0,0.032884587,Abdominal sepsis
1,0.021670204,Abdominal sepsis
2,0.003153131,Abdominal sepsis
3,0.05207329,Abdominal sepsis
4,0.004435615,Abdominal sepsis
5,0.052997187,Abdominal sepsis
6,0.012919692,Abdominal sepsis
7,0.054700688,Abdominal sepsis
8,0.083015054,Abdominal sepsis
9,0.022643613,Abdominal sepsis
10,0.0065548406,Abdominal sepsis
11,0.027144695,Abdominal sepsis
12,0.016872318,Abdominal sepsis
13,0.07308501,Abdominal sepsis
14,0.010313949,Abdominal sepsis
15,0.0011182,Abdominal sepsis
16,0.15107243,Abdominal sepsis
17,0.09496058,Abdominal sepsis
18,0.014532783,Abdominal sepsis
19,0.004833103,Abdominal sepsis
20,0.20456608,Abdominal sepsis
21,0.024991479,Abdominal sepsis
22,0.01699695,Abdominal sepsis
23,5.9041317e-06,Abdominal sepsis
24,0.012003578,Abdominal sepsis
25,0.00045501738,Abdominal sepsis
0,0.045259703,Abnormal labour
1,0.059167083,Abnormal labour
2,0.0150811905,Abnormal labour
3,0.13353097,Abnormal labour
4,0.04061515,Abnormal labour
5,0.0,Abnormal labour
6,0.046811577,Abnormal labour
7,0.096357234,Abnormal labour
8,0.2820547,Abnormal labour
9,9.638757e-07,Abnormal labour
10,0.023222921,Abnormal labour
11,0.0,Abnormal labour
12,0.10539744,Abnormal labour
13,0.0,Abnormal labour
14,1.1354562e-06,Abnormal labour
15,0.0,Abnormal labour
16,1.3369821e-06,Abnormal labour
17,6.918091e-07,Abnormal labour
18,0.06535318,Abnormal labour
19,0.06717556,Abnormal labour
20,0.0,Abnormal labour
21,0.0,Abnormal labour
22,0.019967603,Abnormal labour
23,0.0,Abnormal labour
24,1.5275115e-06,Abnormal labour
25,0.0,Abnormal labour
0,0.02697525,Abdominal wall haemorrhage
1,0.041124403,Abdominal wall haemorrhage
2,0.043709487,Abdominal wall haemorrhage
3,0.046657726,Abdominal wall haemorrhage
4,0.0039499276,Abdominal wall haemorrhage
5,0.015673904,Abdominal wall haemorrhage
6,0.02222889,Abdominal wall haemorrhage
7,0.0023498838,Abdominal wall haemorrhage
8,0.0017909192,Abdominal wall haemorrhage
9,0.035037074,Abdominal wall haemorrhage
10,0.1802559,Abdominal wall haemorrhage
11,0.007222922,Abdominal wall haemorrhage
12,0.10751192,Abdominal wall haemorrhage
13,0.0002545945,Abdominal wall haemorrhage
14,1.5578718e-06,Abdominal wall haemorrhage
15,0.06897903,Abdominal wall haemorrhage
16,0.019597327,Abdominal wall haemorrhage
17,0.15114449,Abdominal wall haemorrhage
18,0.034044877,Abdominal wall haemorrhage
19,0.024333185,Abdominal wall haemorrhage
20,0.027415423,Abdominal wall haemorrhage
21,7.9979245e-06,Abdominal wall haemorrhage
22,0.09541557,Abdominal wall haemorrhage
23,0.007682376,Abdominal wall haemorrhage
24,5.4709976e-06,Abdominal wall haemorrhage
25,0.036629867,Abdominal wall haemorrhage
0,0.008719073,Abdominal wall haematoma
1,0.011212572,Abdominal wall haematoma
2,0.0070029795,Abdominal wall haematoma
3,0.05247102,Abdominal wall haematoma
4,0.014969756,Abdominal wall haematoma
5,0.07741696,Abdominal wall haematoma
6,0.07618939,Abdominal wall haematoma
7,0.011700761,Abdominal wall haematoma
8,0.035236612,Abdominal wall haematoma
9,0.011587954,Abdominal wall haematoma
10,0.14095157,Abdominal wall haematoma
11,0.009697639,Abdominal wall haematoma
12,0.022183686,Abdominal wall haematoma
13,0.009076213,Abdominal wall haematoma
14,0.013609507,Abdominal wall haematoma
15,0.0020734083,Abdominal wall haematoma
16,0.019834792,Abdominal wall haematoma
17,0.034239367,Abdominal wall haematoma
18,0.007837776,Abdominal wall haematoma
19,0.008510797,Abdominal wall haematoma
20,0.11026899,Abdominal wall haematoma
21,0.017075896,Abdominal wall haematoma
22,0.024767388,Abdominal wall haematoma
23,0.00126272,Abdominal wall haematoma
24,0.10535844,Abdominal wall haematoma
25,0.1667447,Abdominal wall haematoma
0,0.10749389,Aborted pregnancy
1,0.10122373,Aborted pregnancy
2,0.04499415,Aborted pregnancy
3,0.14953297,Aborted pregnancy
4,1.868871e-06,Aborted pregnancy
5,0.02169514,Aborted pregnancy
6,0.026563585,Aborted pregnancy
7,0.15470298,Aborted pregnancy
8,0.0,Aborted pregnancy
9,0.0,Aborted pregnancy
10,4.8868974e-06,Aborted pregnancy
11,0.013472838,Aborted pregnancy
12,0.035033103,Aborted pregnancy
13,2.896626e-06,Aborted pregnancy
14,0.0066635343,Aborted pregnancy
15,0.0,Aborted pregnancy
16,0.2709436,Aborted pregnancy
17,6.6742314e-07,Aborted pregnancy
18,0.0,Aborted pregnancy
19,0.0,Aborted pregnancy
20,0.06766854,Aborted pregnancy
21,0.0,Aborted pregnancy
22,3.5549238e-07,Aborted pregnancy
23,1.1903173e-06,Aborted pregnancy
24,0.0,Aborted pregnancy
25,0.0,Aborted pregnancy
0,0.027372085,Abdominal wall wound
1,0.007642669,Abdominal wall wound
2,0.015222343,Abdominal wall wound
3,0.016321126,Abdominal wall wound
4,0.07470087,Abdominal wall wound
5,0.03534752,Abdominal wall wound
6,0.062898375,Abdominal wall wound
7,0.060533546,Abdominal wall wound
8,0.018324519,Abdominal wall wound
9,0.007497115,Abdominal wall wound
10,0.0009016818,Abdominal wall wound
11,0.032231644,Abdominal wall wound
12,0.0562512,Abdominal wall wound
13,6.830182e-05,Abdominal wall wound
14,0.0129669085,Abdominal wall wound
15,0.17329787,Abdominal wall wound
16,0.010928796,Abdominal wall wound
17,3.052601e-05,Abdominal wall wound
18,0.098994486,Abdominal wall wound
19,0.013244905,Abdominal wall wound
20,0.061204128,Abdominal wall wound
21,0.09222796,Abdominal wall wound
22,0.05557898,Abdominal wall wound
23,1.2595859e-05,Abdominal wall wound
24,0.005819765,Abdominal wall wound
25,0.060380083,Abdominal wall wound
0,0.020761207,Abnormal clotting factor
1,0.023217522,Abnormal clotting factor
2,0.017399149,Abnormal clotting factor
3,0.04812175,Abnormal clotting factor
4,0.057843238,Abnormal clotting factor
5,0.005037779,Abnormal clotting factor
6,0.0018580927,Abnormal clotting factor
7,0.030394057,Abnormal clotting factor
8,0.020177787,Abnormal clotting factor
9,0.033201426,Abnormal clotting factor
10,0.1256009,Abnormal clotting factor
11,0.014929735,Abnormal clotting factor
12,0.016836798,Abnormal clotting factor
13,0.00067320094,Abnormal clotting factor
14,0.00026021324,Abnormal clotting factor
15,0.06740629,Abnormal clotting factor
16,0.021271104,Abnormal clotting factor
17,0.10154113,Abnormal clotting factor
18,0.00043029612,Abnormal clotting factor
19,0.056031615,Abnormal clotting factor
20,0.0023586599,Abnormal clotting factor
21,0.07472183,Abnormal clotting factor
22,0.22159319,Abnormal clotting factor
23,0.009615392,Abnormal clotting factor
24,6.1577325e-06,Abnormal clotting factor
25,0.028711414,Abnormal clotting factor
0,0.008486978,Abdominal wound dehiscence
1,0.027430896,Abdominal wound dehiscence
2,0.008595852,Abdominal wound dehiscence
3,0.019174622,Abdominal wound dehiscence
4,0.01848473,Abdominal wound dehiscence
5,0.0031603575,Abdominal wound dehiscence
6,0.010269205,Abdominal wound dehiscence
7,0.006612325,Abdominal wound dehiscence
