feature,importance,pt
0,0.0,Abdominal adhesions
1,0.059031434,Abdominal adhesions
2,0.045336224,Abdominal adhesions
3,0.022543704,Abdominal adhesions
4,0.0597426,Abdominal adhesions
5,0.037642438,Abdominal adhesions
6,0.03223728,Abdominal adhesions
7,0.06095586,Abdominal adhesions
8,0.033275664,Abdominal adhesions
9,0.028149525,Abdominal adhesions
10,0.024417875,Abdominal adhesions
11,0.04014694,Abdominal adhesions
12,0.06469899,Abdominal adhesions
13,0.0,Abdominal adhesions
14,0.0,Abdominal adhesions
15,0.03786699,Abdominal adhesions
16,0.0719348,Abdominal adhesions
17,0.031358305,Abdominal adhesions
18,0.0,Abdominal adhesions
19,0.039165754,Abdominal adhesions
20,0.077434085,Abdominal adhesions
21,0.04316518,Abdominal adhesions
22,0.12930481,Abdominal adhesions
23,0.02516242,Abdominal adhesions
24,0.0,Abdominal adhesions
25,0.03642917,Abdominal adhesions
0,0.06605197,Abdominal neoplasm
1,0.11108888,Abdominal neoplasm
2,0.031054448,Abdominal neoplasm
3,0.0,Abdominal neoplasm
4,0.056050062,Abdominal neoplasm
5,0.0,Abdominal neoplasm
6,0.013462215,Abdominal neoplasm
7,0.030048007,Abdominal neoplasm
8,0.0,Abdominal neoplasm
9,0.015968123,Abdominal neoplasm
10,0.1018967,Abdominal neoplasm
11,0.0,Abdominal neoplasm
12,0.030915331,Abdominal neoplasm
13,0.011306015,Abdominal neoplasm
14,0.0,Abdominal neoplasm
15,0.0,Abdominal neoplasm
16,0.017723627,Abdominal neoplasm
17,0.0,Abdominal neoplasm
18,0.019857105,Abdominal neoplasm
19,0.013200612,Abdominal neoplasm
20,0.019330267,Abdominal neoplasm
21,0.08111825,Abdominal neoplasm
22,0.17915891,Abdominal neoplasm
23,0.08539642,Abdominal neoplasm
24,0.04332381,Abdominal neoplasm
25,0.07304926,Abdominal neoplasm
0,0.06807285,Abnormal uterine bleeding
1,0.11395527,Abnormal uterine bleeding
2,0.07966693,Abnormal uterine bleeding
3,0.09420424,Abnormal uterine bleeding
4,0.05137312,Abnormal uterine bleeding
5,0.0,Abnormal uterine bleeding
6,0.055664293,Abnormal uterine bleeding
7,0.0,Abnormal uterine bleeding
8,0.04590215,Abnormal uterine bleeding
9,0.024636041,Abnormal uterine bleeding
10,0.031795397,Abnormal uterine bleeding
11,0.030742532,Abnormal uterine bleeding
12,0.11764295,Abnormal uterine bleeding
13,0.0,Abnormal uterine bleeding
14,0.0,Abnormal uterine bleeding
15,0.025979575,Abnormal uterine bleeding
16,0.020386292,Abnormal uterine bleeding
17,0.025530186,Abnormal uterine bleeding
18,0.026313758,Abnormal uterine bleeding
19,0.026844172,Abnormal uterine bleeding
20,0.0,Abnormal uterine bleeding
21,0.035142552,Abnormal uterine bleeding
22,0.045753945,Abnormal uterine bleeding
23,0.029824913,Abnormal uterine bleeding
24,0.0,Abnormal uterine bleeding
25,0.050568834,Abnormal uterine bleeding
0,0.02121086,Abdominal distension
1,0.0654826,Abdominal distension
2,0.026284676,Abdominal distension
3,0.048339296,Abdominal distension
4,0.05564114,Abdominal distension
5,0.030677287,Abdominal distension
6,0.024644688,Abdominal distension
7,0.062228773,Abdominal distension
8,0.0,Abdominal distension
9,0.05265795,Abdominal distension
10,0.0316308,Abdominal distension
11,0.0,Abdominal distension
12,0.05375355,Abdominal distension
13,0.027767278,Abdominal distension
14,0.055786435,Abdominal distension
15,0.06448216,Abdominal distension
16,0.0,Abdominal distension
17,0.057057843,Abdominal distension
18,0.092492804,Abdominal distension
19,0.022339206,Abdominal distension
20,0.025718488,Abdominal distension
21,0.026476938,Abdominal distension
22,0.048583098,Abdominal distension
23,0.029193692,Abdominal distension
24,0.029641049,Abdominal distension
25,0.04790932,Abdominal distension
0,0.1079958,Abdominal infection
1,0.02346533,Abdominal infection
2,0.036785062,Abdominal infection
3,0.016719753,Abdominal infection
4,0.02989586,Abdominal infection
5,0.048952375,Abdominal infection
6,0.0,Abdominal infection
7,0.04241785,Abdominal infection
8,0.027120695,Abdominal infection
9,0.02350846,Abdominal infection
10,0.046753027,Abdominal infection
11,0.041516785,Abdominal infection
12,0.07184181,Abdominal infection
13,0.039736927,Abdominal infection
14,0.0,Abdominal infection
15,0.034498625,Abdominal infection
16,0.097083725,Abdominal infection
17,0.0,Abdominal infection
18,0.021014055,Abdominal infection
19,0.038132127,Abdominal infection
20,0.074546024,Abdominal infection
21,0.100688405,Abdominal infection
22,0.014922068,Abdominal infection
23,0.035982586,Abdominal infection
24,0.0,Abdominal infection
25,0.026422655,Abdominal infection
0,0.06473286,Abdominal operation
1,0.023431478,Abdominal operation
2,0.033553526,Abdominal operation
3,0.06828531,Abdominal operation
4,0.03209979,Abdominal operation
5,0.029189061,Abdominal operation
6,0.023249498,Abdominal operation
7,0.06972758,Abdominal operation
8,0.02205435,Abdominal operation
9,0.084581174,Abdominal operation
10,0.019576207,Abdominal operation
11,0.014517291,Abdominal operation
12,0.05700734,Abdominal operation
13,0.015236386,Abdominal operation
14,0.025616057,Abdominal operation
15,0.0,Abdominal operation
16,0.042048957,Abdominal operation
17,0.049616735,Abdominal operation
18,0.0,Abdominal operation
19,0.07083419,Abdominal operation
20,0.03896988,Abdominal operation
21,0.031369515,Abdominal operation
22,0.12700804,Abdominal operation
23,0.057294812,Abdominal operation
24,0.0,Abdominal operation
25,0.0,Abdominal operation
0,0.06845791,Abnormal weight gain
1,0.06402554,Abnormal weight gain
2,0.03152889,Abnormal weight gain
3,0.0,Abnormal weight gain
4,0.024165772,Abnormal weight gain
5,0.0,Abnormal weight gain
6,0.0,Abnormal weight gain
7,0.076172754,Abnormal weight gain
8,0.0,Abnormal weight gain
9,0.020277254,Abnormal weight gain
10,0.034411382,Abnormal weight gain
11,0.040951554,Abnormal weight gain
12,0.1643353,Abnormal weight gain
13,0.022758774,Abnormal weight gain
14,0.05923841,Abnormal weight gain
15,0.06951707,Abnormal weight gain
16,0.1518295,Abnormal weight gain
17,0.050151575,Abnormal weight gain
18,0.0,Abnormal weight gain
19,0.026097503,Abnormal weight gain
20,0.021706285,Abnormal weight gain
21,0.0,Abnormal weight gain
22,0.020172682,Abnormal weight gain
23,0.0,Abnormal weight gain
24,0.029733235,Abnormal weight gain
25,0.024468675,Abnormal weight gain
0,0.10652644,Abdominal wall wound
1,0.019365303,Abdominal wall wound
2,0.020536412,Abdominal wall wound
3,0.0150277205,Abdominal wall wound
4,0.10501515,Abdominal wall wound
5,0.06568262,Abdominal wall wound
6,0.0424161,Abdominal wall wound
7,0.10573405,Abdominal wall wound
8,0.0,Abdominal wall wound
9,0.015323125,Abdominal wall wound
10,0.0,Abdominal wall wound
11,0.028056959,Abdominal wall wound
12,0.06885805,Abdominal wall wound
13,0.018287513,Abdominal wall wound
14,0.018554287,Abdominal wall wound
15,0.021757709,Abdominal wall wound
16,0.050773263,Abdominal wall wound
17,0.0,Abdominal wall wound
18,0.0,Abdominal wall wound
19,0.019710507,Abdominal wall wound
20,0.03405627,Abdominal wall wound
21,0.04174546,Abdominal wall wound
22,0.17852974,Abdominal wall wound
23,0.024043342,Abdominal wall wound
24,0.0,Abdominal wall wound
25,0.0,Abdominal wall wound
0,0.023267789,Abdominal wall haemorrhage
1,0.018503048,Abdominal wall haemorrhage
2,0.038119283,Abdominal wall haemorrhage
3,0.050640106,Abdominal wall haemorrhage
4,0.0,Abdominal wall haemorrhage
5,0.026772102,Abdominal wall haemorrhage
6,0.022376234,Abdominal wall haemorrhage
7,0.015182366,Abdominal wall haemorrhage
8,0.013905661,Abdominal wall haemorrhage
9,0.04733002,Abdominal wall haemorrhage
10,0.076838695,Abdominal wall haemorrhage
11,0.022193354,Abdominal wall haemorrhage
12,0.13981128,Abdominal wall haemorrhage
13,0.029333077,Abdominal wall haemorrhage
14,0.0,Abdominal wall haemorrhage
15,0.06750837,Abdominal wall haemorrhage
16,0.024163703,Abdominal wall haemorrhage
17,0.0412951,Abdominal wall haemorrhage
18,0.024428377,Abdominal wall haemorrhage
19,0.058049053,Abdominal wall haemorrhage
20,0.018049074,Abdominal wall haemorrhage
21,0.0,Abdominal wall haemorrhage
